candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_evidence_ecosystems,recurrence,recommendation,rationale,gate_b_question
CAND-GOV-021,Selective Disclosure,Capability/process,Missing,"EU; VC standards",Medium,Wallet/VC profile,"Selective disclosure is important to privacy-preserving presentation but not universal identity semantics.","Represent as presentation capability/profile property rather than Core event?"
CAND-GOV-022,Wallet Provider,Provider role,Missing,"EU; Canada",Medium,Wallet/VC profile,"Provider of a wallet solution is distinct from Holder/User and credential issuer.","Map to a neutral DigitalIdentityServiceProvider role or introduce WalletProvider profile role?"
CAND-GOV-023,Holder Service Provider,Provider/application role,Missing,"UK; EU/Canada analogous wallet providers",Medium,Wallet/VC + Government profile,"UK broadens holder service beyond mobile wallets to reusable identity stores/vaults.","Can a generic IdentityHoldingService role subsume WalletProvider/HolderServiceProvider?"
CAND-GOV-024,Attribute Service Provider,Provider role,Missing as explicit neutral role,"UK; Australia; Canada analogous",High,Government/Trust profile with possible neutral abstraction,"Attribute creation/checking/sharing is repeatedly separated from identity proofing and holding.","Add neutral AttributeProvider role or map functions to existing CredentialServiceProvider/Claim issuer semantics?"
CAND-GOV-025,Identity Service Provider,Provider role,Partial via IdentityProvider/CSP,"UK; Australia; MOSIP analogous",High,Ontological role review,"Government frameworks use broader identity-service responsibilities than protocol IdP semantics.","Should existing IdentityProvider be narrowed to federation role while a broader IdentityServiceProvider is introduced?"
CAND-GOV-026,Orchestration / Identity Exchange Service,Intermediary role,Missing,"UK; Australia",Medium,Enterprise/Government profile,"A mediator securely routes identity/attribute flows without necessarily issuing or relying on identity itself.","Introduce generic IdentityIntermediary role and map UK Orchestrator/Australia IXP to it?"
CAND-GOV-027,Relying Party Registration,Governance event/artifact,Missing,"EU; UK register; Australia participation",Medium,Government/Wallet profile,"Governed RPs may need declared purpose/data requests and current registration status.","Should RP registration be a profile-specific governance layer linked to RelyingParty role?"
CAND-GOV-028,Wallet / Holder Account Lifecycle,Lifecycle pattern,Missing,"EU; UK",Medium,Wallet profile,"Recovery, suspension, revocation, closure and death/fraud handling concern the holder service/account, distinct from credential lifecycle.","Use generic ManagedIdentityContainer lifecycle or keep wallet-account events profile-only?"
CAND-GOV-029,Provider Participation Lifecycle,Lifecycle pattern,Missing,"UK; Canada; Australia; MOSIP",High,Trust/Government profile,"Onboarding, approval, periodic review, suspension/revocation recur across ecosystems.","Create generic EcosystemParticipation state machine/profile pattern?"
CAND-GOV-030,System Administrator,Operational governance role,Missing,"Australia; MOSIP analogues",Low,Jurisdiction/implementation mapping,"Day-to-day system operator is explicitly distinct from regulator and standards authority.","Keep as government profile role only?"
CAND-GOV-031,Data Standards Authority,Governance role,Missing,"Australia; EU standards governance analogue",Low,Jurisdiction mapping,"Standards authority governs technical requirements rather than identities themselves.","Keep mapping-only unless governance module grows?"
CAND-GOV-032,Foundational ID Authority,Institutional role,Missing,"World Bank; MOSIP national deployments",Medium,Government profile candidate,"National foundational identity systems require an authority owning/managing the identity system.","Model a neutral IdentityAuthority role for government scenarios or map to GovernanceAuthority?"
CAND-GOV-033,Verified Person / Proofed Person State,State/assessment,Missing,"Canada; UK proofing; NIST standards wave",High,Core-or-profile candidate,"Government frameworks distinguish the outcome of establishing a real/unique/identifiable person from authentication of an existing account.","Represent as result of IdentityProofing rather than a permanent subtype of person?"
CAND-GOV-034,Identity Confidence Profile,Assessment artifact,Missing,"UK GPG45; Canada assurance",Medium,Trust profile candidate,"Identity proofing can yield structured confidence based on multiple evidence checks.","Model generic AssuranceAssessment artifact with dimension and level?"
CAND-GOV-035,User Control / Sharing Authorization,Governance relation/process,Partial via consent-related future scope,"EU; UK; Canada principles",Medium,Privacy boundary / profile,"Users control storage and disclosure in wallet/holder models but a full consent ontology is out of CM4DI scope.","What minimal relation is needed to support identity sharing without expanding into complete consent/privacy policy modelling?"
CAND-GOV-036,Transaction Log / Audit Record,Information artifact,Missing,"EU; Australia; MOSIP",Medium,Evaluation/operational mapping,"Auditability and user-visible transaction history recur but are primarily operational/accountability artifacts.","Keep outside Core and use for evaluation scenarios?"
