extract_id,keycloak_term,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
KC-X-012,IdentityBroker,intermediary-role,"Intermediary connecting service providers and external identity providers","delegates authentication; creates/links internal account from external identity",mapping,CM4DI-C1011 IdentityBroker,Federation,"Broker role is contextual, not rigid system kind",accepted
KC-X-013,FederatedIdentityLink,account-link-relation,"Internal account linked to one or more identities from external identity providers","links local user/account with external provider identity",mapping/candidate-lifecycle,linkedAccount relation + FederationConnection,Federation,"Link does not prove identity equality; provenance and unlink lifecycle matter",accepted
KC-X-014,UserFederationProvider,identity-store-adapter,"Connects Keycloak to LDAP/AD or custom external user storage","validates credentials; pulls/synchronizes user identity information",mapping-composite,"C1003 IdentitySource; C1005 IdentityStore; C1013 ProvisioningConnection",Identity Administration,"User federation/storage federation is not identity-provider federation",accepted
KC-X-015,IdentityProviderMapper,attribute-mapping,"Maps external IdP tokens/assertions into user/session attributes","transforms incoming claims to local attributes/session",mapping,CM4DI-C1014 AttributeMapping,Identity Administration,"Mapping artifact should preserve source provenance",accepted
KC-X-016,Session,temporal-relation,"Created when user logs in; tracks login and participating clients","created by successful login; includes client sessions; timeout/logout/revoke lifecycle",mapping+relation-signal,CM4DI-C1015 Session,Authentication,"Session is not AuthenticationResult; likely needs explicit establishedBy relation/lifecycle",accepted
KC-X-017,AuthenticationFlow,process-configuration,"Workflow specifying authenticators/actions for login, registration or reset","contains executions/required actions; produces successful/failed interaction",implementation/configuration,CM4DI Authentication/Identity Establishment event patterns,Authentication,"Flow definition is not same as Authentication event instance",accepted
KC-X-018,RequiredAction,process-step/config,"Action user must complete before authentication process can complete","update password/verify email/etc; blocks completion until satisfied",candidate-event-pattern,profile-specific lifecycle/process step,Authentication,"Do not create generic Core class until cross-source convergence",investigate
KC-X-019,ProtocolMapper,mapping-artifact,"Maps user attributes/roles into OIDC token or SAML assertion","transforms local information into outgoing claims/assertions",mapping,CM4DI-C1014 AttributeMapping,Identity Administration,"Protocol mapping is representation transformation, not evidence by itself",accepted
KC-X-020,Organization,B2B-organization-feature,"Realm-scoped organization construct for B2B/multi-organization identity","memberships, IdP association and organization-aware login",neighbor-bridge-candidate,W3C ORG + CM4DI Identity Administration/Federation bridge,Identity Administration,"Avoid inventing generic organization ontology inside CM4DI",investigate
KC-X-021,AuthorizationResource,protected-resource-config,"Resource represented in Keycloak Authorization Services","has scopes; targeted by policies/permissions",mapping,CM4DI-C0026 Resource,Authorization,"Configuration resource may be representation of actual protected resource",accepted
KC-X-022,AuthorizationScope,action/scope-config,"Scope represents operation or access dimension over resource","associated with resource and scope permissions",mapping,CM4DI-C0027 Action / resource-scope pattern,Authorization,"Keycloak scope may not equal executed Action instance",accepted
KC-X-023,AuthorizationPolicy,policy-artifact,"Policy defines conditions for granting access","evaluated by permission/decision strategy",mapping,CM4DI-C1017 AccessPolicy,Authorization,"Policy language specifics remain implementation layer",accepted
KC-X-024,AuthorizationPermission,policy-binding-artifact,"Permission associates protected resource/scope with policies","resource/scope permission evaluated to decision",mapping-composite,"C0028 Permission + C1017 AccessPolicy",Authorization,"Keycloak Permission object combines normative permission and policy evaluation configuration",investigate
KC-X-025,AdminEvent,event-log-artifact,"Administrative changes to managed objects can be logged as events","create/update/delete/admin operations with actor/context",evaluation/provenance-signal,PROV-O alignment + lifecycle evidence,Trust Governance,"Audit event is evidence/provenance, not domain lifecycle event by default",investigate
