concept_id,en_label,fa_label,primary_domain,definition_reference,status
CM4DI-C1009,Federation,فدراسیون هویت,Federation,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1010,FederationConnection,اتصال فدراسیون,Federation,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1011,IdentityBroker,کارگزار هویت,Federation,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1012,Provisioning,تأمین هویت,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1013,ProvisioningConnection,اتصال تأمین هویت,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1014,AttributeMapping,نگاشت ویژگی,Identity Administration,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1015,Session,نشست,Authentication,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1016,PermissionBundle,بسته اجازه‌ها,Authorization,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1017,AccessPolicy,سیاست دسترسی,Authorization,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1018,AccessCondition,شرط دسترسی,Authorization,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1019,AccessGroup,گروه دسترسی,Authorization,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C1020,GroupMembership,عضویت گروه,Authorization,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2001,Issuer,صادرکننده,Credential Management,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2002,Holder,دارنده,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2003,CredentialPresentationVerifier,اعتبارسنج ارائه اعتبارنامه,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2004,Wallet,کیف هویت دیجیتال,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2005,HolderService,سرویس دارنده,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2006,CredentialPresentation,ارائه اعتبارنامه,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2007,PresentationRequest,درخواست ارائه,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2008,Controller,کنترل‌کننده,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2009,VerificationMethod,روش اعتبارسنجی,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2010,VerifiableDataRegistry,رجیستری داده قابل‌راستی‌آزمایی,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2011,SelectiveDisclosure,افشای گزینشی,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C2012,VerifiablePresentation,ارائه قابل‌راستی‌آزمایی,Credential Exchange,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3001,Workload,بارکاری,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3002,RuntimeInstance,نمونه زمان اجرا,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3003,ServiceAccount,حساب سرویس,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3004,ServicePrincipal,پرینسیپال سرویس,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3005,ManagedIdentity,هویت مدیریت‌شده,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3006,Device,دستگاه,Device Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3007,DeviceIdentityRecord,رکورد هویت دستگاه,Device Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3008,NodeAttestation,تصدیق گره,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3009,WorkloadAttestation,تصدیق بارکاری,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3010,TrustDomain,دامنه اعتماد,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3011,TrustBundle,بسته اعتماد,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3012,SVID,سند هویت قابل‌راستی‌آزمایی SPIFFE,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3013,TemporaryCredential,اعتبارنامه موقت,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3014,TokenExchange,تبادل توکن,Workload Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3015,SoftwareAgent,عامل نرم‌افزاری,Agent Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3016,AIAgent,عامل هوش مصنوعی,Agent Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3017,AgentIdentity,هویت عامل,Agent Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C3018,AgentSponsor,مسئول عامل,Agent Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4001,TrustFramework,چارچوب اعتماد,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4002,GovernanceFramework,چارچوب حکمرانی,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4003,TrustRegistry,رجیستری اعتماد,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4004,TrustedList,فهرست مورد اعتماد,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4005,TrustAnchor,لنگر اعتماد,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4006,TrustChain,زنجیره اعتماد,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4007,GovernanceAuthority,مرجع حکمرانی,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4008,Registrar,ثبت‌کننده,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4009,Regulator,تنظیم‌گر,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4010,ConformityAssessmentBody,نهاد ارزیابی انطباق,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4011,Certification,گواهی‌سازی,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4012,Accreditation,اعتباربخشی,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4013,EcosystemParticipation,مشارکت در اکوسیستم,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4014,ParticipantStatus,وضعیت مشارکت‌کننده,Trust Governance,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4015,LegalIdentity,هویت قانونی,Government Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4016,PersonIdentificationData,داده‌های شناسایی شخص,Government Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4017,GovernmentAttestation,تصدیق دولتی,Government Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
CM4DI-C4018,IdentityServiceProvider,ارائه‌دهنده خدمات هویت,Government Identity,docs/concepts/CM4DI_PROFILE_CONCEPT_REFERENCE_v2.md,current
