evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0056","Google Cloud IAM overview","Operational IAM","Official Product Documentation","Google Cloud","2026-07","Current documentation","https://docs.cloud.google.com/iam/docs/overview","","CC BY 4.0 documentation","cloud authorization","human user; workload","Principal; Role; Permission; Resource; AllowPolicy; RoleBinding","principal granted roleOn resource via policy; IAM checks permission","grant; change; revoke","policy inheritance; least privilege","Enterprise/Federated Authorization Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Provides a clean operational authorization pattern Principal–Role/PermissionBundle–Resource–PolicyBinding and separates human/workload principals.","Google Cloud official documentation.","","reviewed"
"CM4DI-EVID0057","Google Cloud Workforce Identity Federation","Operational IAM","Official Product Documentation","Google Cloud","2026-07","Current documentation","https://docs.cloud.google.com/iam/docs/workforce-identity-federation","","CC BY 4.0 documentation","workforce federation","employee; vendor; partner; external human user","WorkforceIdentityPool; Provider; FederatedPrincipal; SubjectAttribute; GroupAttribute; AttributeMapping","external IdP authenticates user; claims mapTo workforce attributes; federated principal receives IAM role","provider/pool create-update-delete","federation trust; attribute-based access","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Federated principal can be identified by subject, group or mapped attributes without creating a native Google user account.","Google Cloud official documentation.","","reviewed"
"CM4DI-EVID0058","Google Cloud Workload Identity Federation","Operational IAM","Official Product Documentation","Google Cloud","2026-07","Current documentation","https://docs.cloud.google.com/iam/docs/workload-identity-federation","","CC BY 4.0 documentation","workload federation","software workload","WorkloadIdentityPool; WorkloadPrincipal; ExternalCredential; AttributeMapping; ServiceAccountImpersonation","external workload credential exchangedFor federated access; principal optionally impersonates service account","pool/provider/credential lifecycle","short-lived credential; trust configuration","Machine/Workload Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Reinforces federated machine identity and secretless temporary access; detailed workload distinctions are deferred to Issue #6.","Google Cloud official documentation.","","reviewed"
"CM4DI-EVID0059","Google Cloud service accounts overview","Operational IAM","Official Product Documentation","Google Cloud","2026-07","Current documentation","https://docs.cloud.google.com/iam/docs/service-account-overview","","CC BY 4.0 documentation","workload identity","application; compute workload","ServiceAccount; ServiceAgent; ShortLivedCredential; ServiceAccountKey; Impersonation","workload authenticatesAs service account; principal impersonates service account","create; attach; key/credential rotate; disable/delete","credential risk; least privilege","Machine/Workload Profile","Medium","High","High","false","Authority=official; Recency=very-current; Directness=direct","Service account is a non-human principal/account; credential mechanism is distinct from the identity itself and may be short-lived or key-based.","Google Cloud official documentation.","","reviewed"
"CM4DI-EVID0060","Google Cloud Identity Platform multi-tenancy","Operational IAM","Official Product Documentation","Google Cloud","2026-07-30","Current documentation","https://docs.cloud.google.com/identity-platform/docs/multi-tenancy","","CC BY 4.0 documentation","CIAM/multi-tenant federation","human application user","Tenant; UserAccount; IdentityProvider; AuthenticationMethod; IsolationBoundary","tenant contains users/providers/configuration; user authenticatesIn tenant","create/migrate/delete user; tenant lifecycle","tenant-specific IAM/audit","Enterprise/Federated + CIAM Profile","High","High","High","false","Authority=official; Recency=very-current; Directness=direct","Tenant/realm is an administrative and data-isolation boundary for accounts and authentication configuration, not itself an IdentityContext in the same sense as CM4DI contextual identity representation.","Google Cloud official documentation.","","reviewed"
"CM4DI-EVID0061","Okta Identity Engine — User management and Universal Directory","Operational IAM","Official Product Documentation","Okta","2026 review","Current Identity Engine documentation","https://help.okta.com/oie/en-us/Content/Topics/users-groups-profiles/usgp-main.htm","","Public official documentation","enterprise IAM","human user; service account","User; UserType; UserProfile; Group; Realm; ProfileSource; ServiceAccount","directory stores profile; user belongsTo groups/realm; profile sourcedFrom external system","activate; suspend; deactivate; delete; profile update","","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Separates user/account/profile, user type, group, realm and profile source; realms partition administration but are not ontological identity contexts by default.","Okta official Identity Engine documentation.","","reviewed"
"CM4DI-EVID0062","Okta Identity Engine — Identity providers and routing","Operational IAM","Official Product Documentation","Okta","2026 review","Current Identity Engine documentation","https://help.okta.com/oie/en-us/content/topics/security/identity_providers.htm","","Public official documentation","federation/SSO","human user","IdentityProvider; ServiceProvider; RoutingRule; ExternalAccount; JITProvisioning; Authenticator","routing rule selects IdP basedOn context; external IdP authenticates user; JIT creates/links local representation","JIT provision; link; sign-in","contextual routing; MFA","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Federation includes provider routing/discovery and local account/profile realization; IdP may also function as an authenticator factor.","Okta official Identity Engine documentation.","","reviewed"
"CM4DI-EVID0063","Okta Identity Engine — Provisioning and lifecycle management","Operational IAM","Official Product Documentation","Okta","2026 review","Current Identity Engine documentation","https://help.okta.com/oie/en-us/Content/Topics/Apps/Provisioning_Deprovisioning_Overview.htm","","Public official documentation","enterprise provisioning","human user; group","Provisioning; Deprovisioning; AppAccount; ProfileSource; AttributeMapping; GroupRule; AppAssignment","assignment/provisioning creates target account; profile source updates attributes; group rules drive access","onboard; role change; transfer; suspend; deprovision","","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Strong operational evidence for application account lifecycle, assignments and attribute-driven group/access automation distinct from authentication.","Okta official Identity Engine documentation.","","reviewed"
"CM4DI-EVID0064","Auth0 — Identity providers and connections","Operational IAM","Official Product Documentation","Auth0 / Okta","2026 review","Current documentation","https://auth0.com/docs/authenticate/identity-providers","","Public official documentation","CIAM/federation","human application user","Connection; IdentityProvider; DatabaseConnection; SocialConnection; UserProfile; AccountLink","connection links Auth0 to user source; login synchronizes profile from source","login sync; connection enable/disable; account link","","Enterprise/Federated + CIAM Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","The useful neutral construct is an IdentitySourceConnection/federation connection, not the vendor term Connection itself; Auth0 abstracts multiple user sources behind a common account/profile layer.","Auth0 official documentation.","","reviewed"
"CM4DI-EVID0065","Auth0 — SCIM and organization provisioning","Operational IAM","Official Product Documentation","Auth0 / Okta","2026 review","Current documentation","https://auth0.com/docs/authenticate/protocols/scim","","Public official documentation","B2B/CIAM provisioning","human enterprise user; group","Organization; SCIMConnection; User; Group; Directory; Provisioning","SCIM client creates/updates/deletes users/groups in tenant/organization context","provision; update; deactivate/delete","","Enterprise/Federated + CIAM Profile","Medium","High","High","false","Authority=official; Recency=current; Directness=direct","Confirms organization-scoped provisioning and directory isolation patterns; organization is a tenancy/business context, not automatically an identity-bearing entity class.","Auth0 official documentation.","","reviewed"
"CM4DI-EVID0066","PingOne — Platform identity model","Operational IAM","Official Product Documentation","Ping Identity","2026 review","Current documentation","https://docs.pingidentity.com/pingone/introduction_to_pingone/p1_introduction.html","","Public official documentation","enterprise/CIAM","human user; worker application","Organization; Environment; Population; Group; User; Identity; Application; ApplicationGrant; Scope; Role","user belongsTo population/groups; application grant defines scopes; environment contains identity objects","create/move user; assignment; session","sign-on policies","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Population is a mutually exclusive management partition while groups are many-to-many collections; application grants/scopes support neutral assignment/permission distinctions.","PingOne official documentation.","","reviewed"
"CM4DI-EVID0067","PingOne — Provisioning and authoritative identity provider","Operational IAM","Official Product Documentation","Ping Identity","2026 review","Current documentation","https://docs.pingidentity.com/pingone/integrations/p1_provisioning.html","","Public official documentation","enterprise provisioning/federation","human user","AuthoritativeIdentityProvider; SourceIdentityStore; TargetIdentityStore; ProvisioningConnection; Rule; AttributeMapping","authoritative IdP controls user; provisioning connection syncs source to target; rule selects/mapping transforms identities","add/change/delete; provision/deprovision","","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct","Explicit 'authoritative IdP' and source/target identity-store distinctions strongly support authoritative-source and provisioning-process candidates.","PingOne official documentation.","","reviewed"
"CM4DI-EVID0068","Keycloak — Server Administration Guide","Operational IAM","Official Open-Source Product Documentation","Keycloak","2026 review","Latest documentation","https://www.keycloak.org/docs/latest/server_admin/index.html","","Open official documentation","enterprise federation/SSO","human user; application/service","Realm; User; Credential; Role; Group; Client; Session; UserFederationProvider; IdentityProvider; IdentityBroker","realm manages users/credentials/roles/groups; client requests authentication; broker delegates to external IdP; user federation reads external store","user/session/token lifecycle; federation/linking","protocol federation; session control","Enterprise/Federated Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct; Open-source reference","Keycloak strongly distinguishes realm, client, session, user federation (external directory) and identity brokering (external authentication), supporting anti-conflation rules.","Official Keycloak documentation.","","reviewed"
"CM4DI-EVID0069","ZITADEL — Users, service accounts and federated users","Operational IAM","Official Open-Source Product Documentation","ZITADEL","2026 review","Current documentation","https://zitadel.com/docs/guides/manage/console/users-overview","","Open official documentation","B2B/CIAM/workload","human user; service account","Organization; HumanUser; ServiceAccount; FederatedUser; ExternalUser; RoleAssignment; IdentityProviderLink; Session","service account represents non-human entity; federated identity linksTo internal user; role assignment grants project/org access","invite; link; deactivate; reactivate; delete; session","authentication method and role scope","Enterprise/Federated + Machine Profile","High","High","High","false","Authority=official; Recency=current; Directness=direct; Open-source","Clear separation of human account, service account, federated identity link and organization/project-scoped authorization; machine details deferred to Issue #6.","Official ZITADEL documentation.","","reviewed"
"CM4DI-EVID0070","Ory + authentik — compositional identity, authorization and federation patterns","Operational IAM","Official Open-Source Documentation / Repositories","Ory; authentik","2026 review","Current documentation/repositories","https://github.com/ory/kratos ; https://github.com/ory/keto ; https://docs.goauthentik.io/","","Open-source/public documentation","composable IAM/federation","human identity; service/device subject where authorization applies","IdentitySchema; IdentityTraits; Credential; Session; RelationshipTuple; Subject; Object; Permission; Source; Provider; Application; Flow; SCIMSource","identity conformsTo schema; session authenticates identity; authorization relationship links subject/object; source imports identity; provider authenticates for application","registration/login/recovery/session; provisioning/deprovisioning","relationship-based authorization; policy/flow","Enterprise/Federated Profile + evaluation mapping","Medium","High","High","false","Authority=official projects; Recency=current; Directness=direct; Open-source","Ory separates identity/authentication from authorization services; authentik separates Sources (identity ingestion) from Providers (application authentication), reinforcing modular IAM semantics and source/provider distinction.","Official Ory GitHub/product materials and authentik documentation.","","reviewed"
