candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_operational_evidence,recurrence,recommendation,rationale,gate_b_question
CAND-IAM-013,Application Instance / Tenant-local Representation,Security identity object,Missing,"Entra service principal; enterprise app instances",Medium,Enterprise/Machine profile candidate,"A configured application can have tenant-local security representations with distinct permissions.","Model as Account-like representation for software or defer to Issue #6?"
CAND-IAM-014,Principal,Authorization role/representation,Missing,"Google IAM; Entra; AWS; Ory Keto",High,Core candidate requiring ontological care,"Authorization systems act on principals that may represent people, workloads, groups or federated subjects.","Is Principal an anti-rigid role played by identity-bearing/account entities in an authorization context?"
CAND-IAM-015,Security Principal,Authorization-bearing representation,Missing,"Entra; AWS/Google analogous",Medium,Profile-first candidate,"Some platforms use a concrete security object to which permissions are attached.","Does generic Principal suffice, with SecurityPrincipal as mapping-only specialization?"
CAND-IAM-016,Service Account,Non-human account,Missing,"Google; Entra; ZITADEL; authentik SCIM service account",High,Defer detailed modeling to Issue #6,"Recurring machine account proves non-human identity importance but type semantics differ by platform.","How should ServiceAccount relate to WorkloadIdentity, Account, Principal and Credential?"
CAND-IAM-017,Service Principal,Non-human security representation,Missing,"Entra primarily; analogues elsewhere",Medium,Defer detailed modeling to Issue #6,"Entra distinguishes service principal from application object and managed identity.","Is ServicePrincipal a platform mapping or a reusable software-account pattern?"
CAND-IAM-018,Device Identity,Device representation,Missing,"Entra; standards evidence",Medium,Defer to Issue #6,"Device identity is a directory/security object used in access decisions and distinct from authenticator device.","How should DeviceIdentity relate to Device, DigitalIdentity and Authenticator?"
CAND-IAM-019,Federation Connection,Configuration/relational construct,Missing,"AWS; Auth0; Okta; Google; Keycloak; ZITADEL",High,Enterprise/Federated profile candidate,"Federation requires a configured trust/protocol relationship between parties/systems, not only provider roles.","Model a neutral FederationConnection separate from Federation as ecosystem arrangement?"
CAND-IAM-020,Identity Broker,Intermediary role,Missing,"Keycloak; Cognito; Okta/Auth0 analogous",High,Enterprise/Federated profile candidate,"A broker mediates authentication between external IdP and relying application and may create/link local accounts.","Unify with Government-wave IdentityIntermediary/Orchestration role or keep specialized broker subtype?"
CAND-IAM-021,Provisioning,Process/event family,Missing,"AWS SCIM; Entra; Okta; Auth0; PingOne; authentik",High,Enterprise/Federated profile with generic lifecycle relation,"Provisioning creates/synchronizes platform account representations and is not Enrollment or Authentication.","Should Provisioning be a process/event supertype with create/update/deprovision events?"
CAND-IAM-022,Provisioning Connection,Configuration/relational construct,Missing,"PingOne; Okta; Entra; authentik",High,Enterprise/Federated profile,"A persistent source-target integration defines where account data is synchronized.","Model as configuration artifact linking source and target identity stores?"
CAND-IAM-023,Provisioning Rule / Scope,Policy/configuration artifact,Missing,"Entra; PingOne; Okta",High,Enterprise/Federated profile,"Rules select which identities are synchronized and under what conditions.","Map to generic Policy/Condition or keep provisioning-specific profile artifact?"
CAND-IAM-024,Attribute Mapping,Mapping artifact/relation,Partial through mappingNote helpers,"AWS; Entra; Google; Okta; PingOne; Cognito",High,Core-or-profile mapping candidate,"Cross-domain identity routinely transforms source claims/attributes into target profile attributes.","Should AttributeMapping become a first-class mapping artifact with source, target, transformation and provenance?"
CAND-IAM-025,Profile / Attribute Source,Provenance relation,Missing,"Okta; PingOne; Auth0; Entra",High,Core-or-profile provenance candidate,"Operational systems explicitly track which source controls particular profile data.","Can this be generalized with Government-wave AttributeProvenance rather than separate profile-source ontology?"
CAND-IAM-026,Account Lifecycle State,State/quality,Missing,"Okta; Cognito; ZITADEL; Entra; SCIM platforms",High,Enterprise/Federated profile candidate,"Accounts have active, suspended, disabled, deprovisioned and deleted states distinct from credential status.","Use a generic lifecycle pattern while preserving account-vs-credential state domains?"
CAND-IAM-027,Session,Temporally extended security context,Missing,"Keycloak; Okta; Cognito; ZITADEL; Ory; AWS role session",High,Core-or-profile candidate,"Successful authentication often establishes a session with its own lifetime, methods and revocation semantics.","Is Session sufficiently cross-paradigm for Core, and what UFO category best represents it?"
CAND-IAM-028,Session Lifecycle,Event/state pattern,Missing,"Okta; Keycloak; Ory; AWS",High,Profile pattern,"Sessions are issued, refreshed, expire, terminate and revoke independently of account or credential lifecycle.","Use generic lifecycle events or session-specific event types?"
CAND-IAM-029,Temporary Credential,Credential/token artifact,Missing/ambiguous under Credential,"AWS; Google; Entra workload federation",High,Enterprise/Machine profile candidate,"Cloud access commonly relies on short-lived credentials issued for a session/federated principal.","Does generic CM4DI Credential include authorization session credentials, or should it be narrowed with explicit credential categories?"
CAND-IAM-030,Access Grant / Assignment,Relator/relation,Missing,"AWS assignments; Entra role/app assignments; Google role binding; Okta app assignment; ZITADEL role assignment",High,High-priority Core-or-profile candidate,"Durable access assignment differs from runtime Authorization event and connects principal, permission bundle, resource/scope and validity.","Model AccessGrant as a relator distinct from Authorization evaluation?"
CAND-IAM-031,Permission,Normative/action authorization unit,Missing,"Google; Entra; AWS; PingOne; Ory",High,Core candidate aligned with authorization expansion,"Permissions express allowed operations and underlie roles/scopes/policies.","How should Permission relate to standards-wave Action and Resource without building a full access-control ontology?"
CAND-IAM-032,Permission Bundle,Information/normative object,Missing,"AWS permission set/role policies; Google role; Entra role; Keycloak role",High,Enterprise/Federated profile candidate,"Vendor 'roles' commonly bundle permissions; this semantics must not be mapped to UFO Role.","Introduce PermissionBundle and map IAM roles/permission sets to it?"
CAND-IAM-033,Role Binding / Assignment,Grant relation,Missing,"Google; Entra; AWS analogues",High,Mapping to AccessGrant,"A binding connects principal to a permission bundle within scope/resource; should not become separate Core if AccessGrant covers it.","Can vendor role bindings normalize to AccessGrant rather than create another class?"
CAND-IAM-034,Access Policy,Normative information object,Helper artifact only,"Google; AWS; Okta; Keycloak; Entra Conditional Access",High,Profile-first candidate,"Operational policies govern grants/decisions and often contain conditions; full policy language remains out of Core.","Keep generic Policy reference in Core and richer AccessPolicy in profile?"
CAND-IAM-035,Access Condition,Contextual predicate,Missing,"Google IAM Conditions; Entra Conditional Access; Okta routing/sign-on policies",High,Enterprise/Federated profile candidate,"Access depends on runtime attributes such as resource, user, device, network or time.","Relate AccessCondition to standards-wave AuthorizationContext rather than duplicate context semantics?"
CAND-IAM-036,Application Account,Target-system account representation,Missing,"Entra provisioning; Okta; PingOne; SCIM",High,Enterprise/Federated profile candidate,"Provisioning frequently creates a target app account distinct from source directory account.","Should Account be generic with source/target/application specializations rather than ApplicationAccount class?"
CAND-IAM-037,Guest / External User Account,Contextual account representation,Missing,"Entra; Cognito guest identity; ZITADEL external users",Medium,Enterprise/Federated profile candidate,"External/guest status is local-context representation, not a different kind of human subject.","Model as Account status/role rather than subtype of IdentitySubject?"
CAND-IAM-038,Just-in-Time Provisioning,Provisioning event pattern,Missing,"Okta; Cognito federated first login; ZITADEL",Medium,Enterprise/Federated profile subtype,"Some local accounts/profiles are created during first federated authentication rather than by batch/SCIM sync.","Treat JIT as subtype/timing mode of Provisioning rather than independent Core event?"
CAND-IAM-039,Dynamic Group Membership Rule,Policy/derivation rule,Missing,"Okta; attribute-based group patterns",Medium,Enterprise/Federated profile,"Group membership can be derived from profile attributes and drive assignments.","Keep as profile-level policy artifact and use it for evaluation rather than Core?"
CAND-IAM-040,Identity Pool / Federated Identity Broker Store,Vendor-specific operational construct,Missing,"Amazon Cognito identity pools; Google workforce/workload pools analogous but semantically different",Medium,Mapping-only / profile patterns,"Pool terminology covers different abstractions across vendors and should not become a generic Core class by lexical similarity.","Represent through existing AdministrativeDomain/FederationConnection/Principal constructs rather than generic IdentityPool?"
