concept_id,profile,label,ontouml_stereotype,definition,core_alignment,status
CM4DI-C3014,P03,TokenExchange,event,"Event transforming or exchanging external proof/credential for a local temporary credential or security context.",Credential lifecycle/federation,wave6-candidate
CM4DI-C3015,P03,SoftwareAgent,kind,"Goal-directed software entity capable of acting autonomously or on delegated authority.",IdentitySubject/Principal,wave6-candidate
CM4DI-C3016,P03,AIAgent,subkind,"SoftwareAgent specialization whose behavior is driven substantially by AI models/planning mechanisms.",SoftwareAgent,wave6-candidate
CM4DI-C3017,P03,AgentIdentity,kind,"Managed digital identity representation specifically associated with a SoftwareAgent.",DigitalIdentity,wave6-candidate
CM4DI-C3018,P03,AgentSponsor,roleMixin,"Accountability/governance role played by a person or organization responsible for an agent identity lifecycle.",Party,wave6-candidate
CM4DI-C4001,P04,TrustFramework,kind,"Governed normative framework defining rules obligations requirements and trust conditions for ecosystem participation/services.",TrustReference alignment,wave6-candidate
CM4DI-C4002,P04,GovernanceFramework,kind,"Normative governance framework defining institutional roles conformance processes and operating rules.",TrustFramework related,wave6-candidate
CM4DI-C4003,P04,TrustRegistry,kind,"Governed information service registering participants providers credentials or trust status.",TrustReference,wave6-candidate
CM4DI-C4004,P04,TrustedList,kind,"Governed information artifact enumerating trusted/certified services or entities and their statuses.",TrustRegistry related,wave6-candidate
CM4DI-C4005,P04,TrustAnchor,roleMixin,"Authoritative/cryptographic root role used as a terminus for a trust chain.",TrustReference,wave6-candidate
CM4DI-C4006,P04,TrustChain,kind,"Structured path of trust statements certificates or entity statements terminating at a trust anchor.",TrustReference,wave6-candidate
CM4DI-C4007,P04,GovernanceAuthority,roleMixin,"Institutional role responsible for defining or enforcing framework rules.",Party,wave6-candidate
CM4DI-C4008,P04,Registrar,roleMixin,"Institutional role responsible for registering ecosystem participants/services.",Party,wave6-candidate
CM4DI-C4009,P04,Regulator,roleMixin,"Institutional oversight role responsible for regulatory supervision or enforcement.",Party,wave6-candidate
CM4DI-C4010,P04,ConformityAssessmentBody,roleMixin,"Independent role performing conformity assessment against a framework/profile.",Party,wave6-candidate
CM4DI-C4011,P04,Certification,event,"Governance event/process establishing certified status against defined requirements.",AssuranceAssessment related,wave6-candidate
CM4DI-C4012,P04,Accreditation,event,"Governance event/process establishing authority/competence status of a conformity-assessment actor.",AssuranceAssessment related,wave6-candidate
CM4DI-C4013,P04,EcosystemParticipation,relator,"Governed relationship connecting a participant to a trust/governance ecosystem with status and scope.",Party/TrustReference,wave6-candidate
CM4DI-C4014,P04,ParticipantStatus,mode,"Dependent status of an ecosystem participation such as approved suspended revoked or expired.",EcosystemParticipation,wave6-candidate
CM4DI-C4015,P04,LegalIdentity,kind,"Legally recognized identity construct used as a government/legal basis for digital identity processes; profile-scoped and human/legal centric.",IdentitySubject related,wave6-candidate
CM4DI-C4016,P04,PersonIdentificationData,kind,"Governed identity data set about a person used in legal/government identification contexts.",Claim/IdentityAttribute/Credential,wave6-candidate
CM4DI-C4017,P04,GovernmentAttestation,kind,"Government or regulated attestation carrying verified attributes/status about a subject.",Credential,wave6-candidate
CM4DI-C4018,P04,IdentityServiceProvider,roleMixin,"Broad service-provider role supplying proofing authentication attribute or identity-management services in governed ecosystems.",Party,wave6-candidate
