evidence_id,title,source_family,source_type,organization_or_authors,publication_or_version_date,version_or_status,persistent_identifier_or_url,doi_if_any,license_or_access_status,paradigm,identity_subject_types,concept_candidates,relation_candidates,lifecycle_candidates,trust_or_assurance_candidates,profile_destination,core_relevance,mapping_relevance,evaluation_relevance,social_identity_flag,evidence_grade_notes,extracted_claim_or_definition_summary,provenance_notes,supersedes_or_superseded_by,review_status
"CM4DI-EVID0011","NIST SP 800-63B-4 — Authentication and Authenticator Management","Normative","Government Guideline","NIST","2025-07","Final","https://csrc.nist.gov/pubs/sp/800/63/B/4/final","10.6028/NIST.SP.800-63B-4","Open","authentication","claimant; subscriber","Claimant; Subscriber; Authenticator; Authentication; AuthenticationResult","claimant proves controlOf authenticator","authenticator binding; management; recovery","AAL","Core + Trust/Assurance","High","High","High","false","Authority=official; Recency=current; Directness=direct; DOI","Separates claimant/subscriber roles and authenticator lifecycle with explicit AALs.","Official NIST CSRC.","Supersedes SP 800-63B","reviewed"
"CM4DI-EVID0012","NIST SP 800-63C-4 — Federation and Assertions","Normative","Government Guideline","NIST","2025-07","Final","https://csrc.nist.gov/pubs/sp/800/63/C/4/final","10.6028/NIST.SP.800-63C-4","Open","federated/wallet","subscriber","Federation; Assertion; IdP; CSP; RelyingParty; SubscriberAttribute","provider asserts authentication/attributesTo relyingParty","federation transaction","FAL","Core + Enterprise/Federated + Trust/Assurance","High","High","High","false","Authority=official; Recency=current; Directness=direct; DOI","Direct evidence for Federation and Assertion as concepts distinct from Claim and Authentication.","Official NIST CSRC.","Supersedes SP 800-63C","reviewed"
"CM4DI-EVID0013","W3C Verifiable Credentials Data Model v2.0","Normative","W3C Recommendation","W3C","2025-05-15","Recommendation","https://www.w3.org/TR/vc-data-model-2.0/","","Open","wallet/VC/decentralized","credential subject","Issuer; Holder; Verifier; VerifiableCredential; VerifiablePresentation; CredentialSubject; Claim","issuer issues credential; holder presents credential; verifier evaluates presentation","issuance; presentation; status","proof; status","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=current; Directness=direct","Stable VC 2.0 data model defining credential roles and presentation semantics.","Official W3C Recommendation.","Stable v2 baseline","reviewed"
"CM4DI-EVID0014","W3C Decentralized Identifiers v1.0","Normative","W3C Recommendation","W3C","2022-07-19","Recommendation","https://www.w3.org/TR/did-core/","","Open","decentralized","person; organization; thing; abstract entity","DID; DIDSubject; DIDController; DIDDocument; VerificationMethod","DID identifies subject; controller controls DID","create/read/update/deactivate via DID methods","control proof","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=stable; Directness=direct","Separates identifier subject and controller and allows broad subject types.","Official W3C Recommendation.","DID v1.1 is Candidate Recommendation","reviewed"
"CM4DI-EVID0015","W3C Verifiable Credential Data Integrity 1.0","Normative","W3C Recommendation","W3C","2025-05-15","Recommendation","https://www.w3.org/TR/vc-data-integrity/","","Open","wallet/VC","credential subject indirectly","Proof; VerificationMethod; DataIntegrityProof","proof secures credential","","authenticity; integrity","Wallet/VC Profile","Low","High","High","false","Authority=normative; Recency=current; Directness=direct","Supports profile-level proof/evidence semantics without requiring cryptographic mechanisms in Core.","Official W3C Recommendation.","v1.1 is Working Draft","reviewed"
"CM4DI-EVID0016","W3C Controlled Identifiers v1.0","Normative","W3C Recommendation","W3C","2025-05-15","Recommendation","https://www.w3.org/TR/cid-1.0/","","Open","decentralized/controlled identifiers","identifier controller","ControlledIdentifier; ControllerDocument; VerificationMethod; ServiceEndpoint","controller controls identifier","","control relationship","Wallet/VC Profile","Medium","High","Medium","false","Authority=normative; Recency=current; Directness=direct","Supports explicit separation of identifier controller and cryptographic verification material.","Official W3C Recommendation.","","reviewed"
"CM4DI-EVID0017","W3C Bitstring Status List v1.0","Normative","W3C Recommendation","W3C","2025-05-15","Recommendation","https://www.w3.org/TR/vc-bitstring-status-list/","","Open","wallet/VC","credential subject indirectly","CredentialStatus; StatusPurpose","credential has status","suspension; revocation","privacy-preserving status","Wallet/VC Profile + Core lifecycle evidence","Medium","High","High","false","Authority=normative; Recency=current; Directness=direct","Strong evidence for generic credential lifecycle/status semantics while bitstring encoding remains profile-specific.","Official W3C Recommendation.","","reviewed"
"CM4DI-EVID0018","W3C Web Authentication Level 2","Normative","W3C Recommendation","W3C","2021-04-08","Recommendation","https://www.w3.org/TR/webauthn-2/","","Open","authentication","user","PublicKeyCredential; Authenticator; RelyingParty; UserAgent; Attestation; Assertion","credential boundTo authenticator and RP","registration; authentication","attestation; user verification","Enterprise/Federated Authentication Profile","Medium","High","High","false","Authority=normative; Recency=stable; Directness=direct","Stable WebAuthn baseline for authenticator credential binding attestation and authentication assertion semantics.","Official W3C Recommendation.","Level 3 is Candidate Recommendation","reviewed"
"CM4DI-EVID0019","OpenID Connect Core 1.0 incorporating Errata Set 2","Normative","OpenID Final Specification","OpenID Foundation","2023-12-15","Final + Errata 2","https://openid.net/specs/openid-connect-core-1_0.html","","Open","federated/SSO","end-user","OpenIDProvider; RelyingParty; IDToken; Claim; SubjectIdentifier; Authentication","OP authenticates end-user; ID Token conveys claimsTo RP","authentication flow","","Enterprise/Federated Profile","Medium","High","High","false","Authority=normative; Recency=current-maintained; Directness=direct","Canonical SSO evidence for OP/RP subject identifiers ID Token and claims.","Official OpenID final specification.","Errata Set 2 approved 2023","reviewed"
"CM4DI-EVID0020","OpenID for Verifiable Presentations 1.0","Normative","OpenID Final Specification","OpenID Foundation","2025-07","Final","https://openid.net/specs/openid-4-verifiable-presentations-1_0.html","","Open","wallet/VC","holder/user","Verifier; Wallet; Credential; Presentation; PresentationRequest","verifier requests credential; wallet presents credential","presentation","","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=current; Directness=direct","Stable protocol evidence for presentation transaction roles and artifacts.","Official OpenID final specification.","","reviewed"
"CM4DI-EVID0021","OpenID for Verifiable Credential Issuance 1.0","Normative","OpenID Final Specification","OpenID Foundation","2025-09","Final","https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html","","Open","wallet/VC","credential subject/holder","CredentialIssuer; Wallet; CredentialOffer; CredentialRequest; Credential","issuer issues credentialTo wallet","offer; authorization; issuance","","Wallet/VC Profile","Medium","High","High","false","Authority=normative; Recency=current; Directness=direct","Stable credential issuance lifecycle and roles.","Official OpenID final specification.","","reviewed"
"CM4DI-EVID0022","OpenID Federation 1.1","Normative","OpenID Final Specification","OpenID Foundation","2026-05-06","Final","https://openid.net/specs/openid-federation-1_1-final.html","","Open","federated","federation entity","FederationEntity; TrustAnchor; TrustChain; EntityStatement; FederationPolicy; EntityConfiguration","trust chain terminatesAt trust anchor; statement describes entity","federation metadata lifecycle","trust chain; policy","Enterprise/Federated + Trust/Assurance","Medium","High","High","false","Authority=normative; Recency=very-current; Directness=direct","Shows that multilateral federation trust needs explicit entity trust-chain anchor and policy semantics beyond a simple trust reference.","Official OpenID final specification.","Current 1.1 Final","reviewed"
"CM4DI-EVID0023","OpenID Authorization API 1.0 (AuthZEN)","Normative","OpenID Final Specification","OpenID Foundation","2026-01-11","Final","https://openid.net/specs/authorization-api-1_0.html","","Open","authorization","user; machine principal","Subject; Resource; Action; Context; Decision; PDP; PEP","subject performs actionOn resource; PDP produces decision; PEP enforces decision","authorization evaluation","","Core + Enterprise/Federated Authorization","High","High","High","false","Authority=normative; Recency=very-current; Directness=direct","Strong evidence that CM4DI Authorization needs explicit Resource Action Context and Decision structure.","Official OpenID final specification.","","reviewed"
"CM4DI-EVID0024","IETF RFC 7643/7644 — SCIM Core Schema and Protocol","Normative","IETF Proposed Standards","IETF","2015-09","Active; updated","https://www.rfc-editor.org/info/rfc7643","10.17487/RFC7643; 10.17487/RFC7644","Open","enterprise provisioning","user; group","SCIMResource; User; Group; Attribute; ProvisioningOperation","client creates/modifies/deletes identity resource","create; modify; retrieve; delete","","Enterprise/Federated Profile","Medium","High","High","false","Authority=normative; Recency=active; Directness=direct; DOI","Vendor-neutral identity-resource schema and provisioning lifecycle evidence.","RFC Editor; protocol companion RFC 7644.","Updated by RFC 9865 and RFC 9967","reviewed"
"CM4DI-EVID0025","IETF RFC 9967 — SCIM Profile for Security Event Tokens","Normative","IETF Proposed Standard","IETF","2026-05","Proposed Standard","https://www.rfc-editor.org/info/rfc9967","10.17487/RFC9967","Open","enterprise provisioning/events","SCIM subject/resource","SCIMEvent; EventPublisher; EventReceiver; ProvisioningEvent; Transaction","event reports resource state change","create; patch; put; delete; activate; deactivate","","Enterprise/Federated Profile","Medium","High","High","false","Authority=normative; Recency=very-current; Directness=direct; DOI","Adds explicit asynchronous provisioning/state-change events to the SCIM family.","RFC Editor.","Updates RFC 7643 and RFC 7644","reviewed"
"CM4DI-EVID0026","IETF RFC 8693 — OAuth 2.0 Token Exchange","Normative","IETF Proposed Standard","IETF","2020-01","Proposed Standard","https://www.rfc-editor.org/info/rfc8693","10.17487/RFC8693","Open","token federation/delegation","client; subject; actor","SecurityTokenService; SubjectToken; ActorToken; Impersonation; Delegation; TargetResource","actor actsOnBehalfOf subject; STS exchanges token","token exchange","delegation","Enterprise/Federated Profile","Medium","High","High","false","Authority=normative; Recency=active; Directness=direct; DOI","Evidence for distinguishing actor subject delegation and impersonation in cross-domain identity interactions.","RFC Editor.","","reviewed"
"CM4DI-EVID0027","OASIS SAML Version 2.0","Normative","OASIS Standard","OASIS","2005-03","OASIS Standard; errata maintained","https://docs.oasis-open.org/security/saml/v2.0/","","Open","federated/SSO","principal","SAMLAssertion; AuthenticationStatement; AttributeStatement; AuthorizationDecisionStatement; IdP; ServiceProvider","IdP issues assertionTo SP","SSO/federation transaction","","Enterprise/Federated Profile","Medium","High","High","false","Authority=normative; Recency=stable-legacy; Directness=direct","Foundational federation evidence and a key reason to distinguish FederationAssertion from WebAuthn AuthenticationAssertion.","Official OASIS standard set.","Errata maintained","reviewed"
"CM4DI-EVID0028","OASIS XACML Version 3.0 + Errata 01","Normative","OASIS Standard","OASIS","2013; 2017 errata","OASIS Standard incorporating Errata 01","https://docs.oasis-open.org/xacml/3.0/errata01/os/xacml-3.0-core-spec-errata01-os-complete.html","","Open","authorization","access subject","Policy; PolicySet; Rule; Target; Resource; Action; Decision; Obligation; Advice; PDP; PEP","PDP evaluates policyFor request; PEP enforces decision","policy evaluation","","Enterprise/Federated Authorization Profile","High","High","High","false","Authority=normative; Recency=stable; Directness=direct","Reinforces explicit subject/resource/action/decision/policy semantics and separates obligation/advice from decision.","Official OASIS standard incorporating approved errata.","Supersedes XACML 2.0","reviewed"
"CM4DI-EVID0029","FIDO2 / CTAP 2.3","Normative","FIDO Proposed Standard","FIDO Alliance","2026-02-26","CTAP 2.3 Proposed Standard","https://fidoalliance.org/specifications/download/","","Public specification","authentication","user","Authenticator; ClientPlatform; RelyingParty; PublicKeyCredential; UserVerification","client communicatesWith authenticator; credential usedFor authentication","registration; authentication","authenticator/user verification","Enterprise/Federated Authentication Profile","Low","High","High","false","Authority=industry standard; Recency=very-current; Directness=protocol","Current FIDO2 authenticator protocol supports authenticator/credential-binding analysis while protocol details stay profile-level.","Official FIDO specifications index.","CTAP 2.3.1 Working Draft also exists","reviewed"
