extract_id,entra_construct,kind,source_semantics,important_relations_or_lifecycle,cm4di_disposition,cm4di_target,ddd_domain,semantic_risk,status
ENTRA-X-012,DelegatedPermission,permission-scope,"Permission exercised by app on behalf of signed-in user within delegated context","consented; represented in scopes; requires user/delegated context",mapping-composite,"C0028 Permission; C0030 Delegation; C0029 AccessGrant",Authorization,"Delegated permission is not identical to application permission",accepted
ENTRA-X-013,OAuth2PermissionGrant,delegated-consent-grant,"Directory object recording delegated permission consent between client, resource and optionally principal","grants scopes; tenant/user consent; lifecycle create/revoke",mapping,CM4DI-C0029 AccessGrant + C0030 Delegation,Authorization,"Consent record/grant differs from Permission itself",investigate
ENTRA-X-014,ConditionalAccessPolicy,policy-artifact,"Policy evaluates identity/resource/context/risk/device conditions and enforces controls","targets users/workloads/agents/resources; applies conditions; grants/blocks/session controls",mapping,CM4DI-C1017 AccessPolicy + C1018 AccessCondition,Authorization,"Policy engine semantics broader than Core Authorization",accepted
ENTRA-X-015,Device,directory-device-entity/record,"Device represented in directory and used in authentication/conditional access","registered/joined; compliant/risk state; associated users; can be targeted by policy",mapping-composite,"C3006 Device; C3007 DeviceIdentityRecord",Device Identity,"Directory object is not physical device itself",accepted
ENTRA-X-016,AgentIdentityBlueprint,agent-template/definition,"Reusable blueprint whose tenant-local blueprint principal creates and manages agent identities","one blueprint to many agents; protocol properties inherited by agents",candidate-agent-pattern,"Application/ApplicationRegistration-like agent blueprint extension",Agent Identity,"Blueprint is not agent identity instance and not sponsor",investigate
ENTRA-X-017,AgentIdentityBlueprintPrincipal,tenant-local-principal,"Service principal representing blueprint in tenant and managing agent identities","obtains app-only token; creates/manages agent identities",candidate-agent-pattern,"ServicePrincipal + Principal",Agent Identity,"Management principal differs from individual agent identity",investigate
ENTRA-X-018,AgentIdentity,agent-service-principal,"Single-tenant service principal with agent subtype and agent-specific delegation/audit behavior","ParentID links blueprint; has sponsor; permissions direct/inherited; tokens issued on behalf of agent; audited distinctly",strong-extension-evidence,"C3017 AgentIdentity; C3004 ServicePrincipal; C0025 Principal",Agent Identity,"AgentIdentity is not AIAgent software entity itself",accepted
ENTRA-X-019,AgentSponsor,governance-role,"Assigned sponsor/accountability relationship for agent identity","sponsor required/associated; lifecycle/accountability governance",strong-extension-evidence,CM4DI-C3018 AgentSponsor,Agent Identity,"Sponsor is contextual governance role not owner/equality",accepted
ENTRA-X-020,ParentID,blueprint-agent-relation,"Agent identity inherits protocol properties/delegated permission baseline from parent blueprint","one-to-many parent-child relation; supports token exchange/impersonation lifecycle",candidate-relation,AgentIdentity blueprint relation,Agent Identity,"Not class-subclass relation; model as managed provenance/templating relation",investigate
ENTRA-X-021,AgentImpersonation/TokenExchange,delegated-operation,"Blueprint obtains tokens on behalf of agent identity; resulting token/audit represents agent","parent blueprint performs exchange; agent is acting client; supports autonomous/delegated modes",candidate-event-relation,"Delegation; TokenExchange; AgentIdentity; Principal",Agent Identity,"Technical impersonation must not mean identity equality",investigate
ENTRA-X-022,InheritedDelegatedPermissions,authorization-inheritance,"Agent identity may inherit delegated permissions from blueprint baseline","permission inheritance plus direct assignment; affects effective authority",candidate-constraint-relation,"PermissionBundle/AccessGrant inheritance",Authorization,"Inheritance is authorization configuration not ontological specialization",investigate
ENTRA-X-023,AgentConditionalAccess,agent-policy,"Conditional Access can target agent identities with distinct autonomous/on-behalf-of scenarios","targets agent/resource; evaluates signals; enforces access controls",mapping,AccessPolicy/AccessCondition/Authorization,Authorization,"Agent policy targeting validates AgentIdentity as Principal, not new Core authorization model",accepted
