comparison_id,source_id,source_family,source_title,source_owner,source_version,source_status,canonical_url,doi_or_identifier,evidence_level,materiality,coverage_status,source_locator,identity_paradigms,human_coverage,organization_coverage,device_coverage,workload_coverage,agent_coverage,foundational_grounding,formalism,modularity,identity_subject_semantics,digital_identity_semantics,account_profile_semantics,identifier_semantics,claim_attribute_semantics,evidence_proof_semantics,proofing_binding_semantics,authentication_semantics,session_semantics,authorization_semantics,federation_semantics,provisioning_semantics,credential_wallet_semantics,trust_governance_semantics,government_identity_semantics,privacy_boundary,provenance_boundary,equality_coreference_policy,lifecycle_richness,constraint_richness,reasoning_support,cq_support,evaluation_method,reproducibility,cm4di_overlap,cm4di_gap_revealed,source_gap_addressed_by_cm4di,semantic_conflicts,ddd_impact,formalization_impact,novelty_relevance,notes,last_verified_date
SRC-0011,NEI-005,neighbor-ontology,ODRL Information Model 2.2,W3C,2018,Recommendation,https://www.w3.org/TR/odrl-model/,,ontology-primary,material,pending,,,,,,,,,RDF information model/vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,"Permission, Action, Resource, policy boundaries",,,,,Keep CM4DI minimal authorization kernel; map richer policy semantics to ODRL rather than absorb full policy language,neighbor decision: align/bridge,,2026-08-29
SRC-0012,NEI-006,neighbor-ontology,Data Privacy Vocabulary v2,W3C Data Privacy Vocabularies and Controls Community Group,2024-08-01,Community Group Final Report,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,,ontology-primary,material,pending,,,,,,,,,RDF/SKOS/OWL vocabulary family,,,,,,,,,,,,,,,,,,,,,,,,,,"Identity information processing, consent/privacy boundary, legal bases and governance",,,,,Privacy/data-processing semantics remain outside CM4DI Core; use mappings/bridges where identity scenarios need them,neighbor decision: align/bridge,,2026-08-29
SRC-0013,NEI-007,neighbor-ontology,W3C Verifiable Credentials RDF vocabulary/model,W3C,2025,Recommendation ecosystem,https://www.w3.org/TR/vc-data-model-2.0/,,ontology-primary,material,pending,,,,,,,,,RDF data model,,,,,,,,,,,,,,,,,,,,,,,,,,"Credential, Claim, Issuer, Holder, Verifier, status and presentation semantics",,,,,Preserve CM4DI neutral credential semantics; map VC-specific constructs precisely and import only when stable semantic reuse is beneficial,neighbor decision: align/specialize,,2026-08-29
SRC-0014,NORM-001,normative-ISO,ISO/IEC 24760-1 — Identity management core concepts and terminology,ISO,2025 Edition 3 published,2025 Edition 3 published,https://www.iso.org/standard/24760-1,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity; identifier; identity information; principal; terminology,,,,Identity Representation;Identity Information,,,,2026-08-29
SRC-0015,NORM-002,normative-ISO,ISO/IEC 24760-2 — Reference architecture and requirements,ISO,2025 Edition 2 published,2025 Edition 2 published,https://www.iso.org/standard/24760-2,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity management architecture across persons organizations devices software; contextual/federated/mobile/decentralized systems,,,,Digital Identity Management,,,,2026-08-29
SRC-0016,NORM-003,normative-ISO,ISO/IEC 24760-3 — Practice,ISO,2025 Edition 2 published,2025 Edition 2 published,https://www.iso.org/standard/24760-3,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity information control; attribute-based access; assurance; practical identity management,,,,Identity Administration;Identity Information;Authorization;Trust Governance,,,,2026-08-29
SRC-0017,NORM-004,normative-ISO,ISO/IEC 29115 — Entity authentication assurance framework,ISO,2013 published; successor activity monitored,2013 published; successor activity monitored,https://www.iso.org/standard/45138.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,authentication assurance and assurance-level mapping,,,,Authentication;Identity Evidence,,,,2026-08-29
SRC-0018,NORM-005,normative-ISO,ISO/IEC 29146 — Framework for access management,ISO,2024 Edition 2 published,2024 Edition 2 published,https://www.iso.org/standard/86013.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject/principal; ICT resource; context; access decision/accountability,,,,Authorization,,,,2026-08-29
SRC-0019,NORM-006,normative-ISO,ISO/IEC 23220-1 — Mobile eID generic system architectures,ISO,2023 published,2023 published,https://www.iso.org/standard/74910.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile eID architecture and lifecycle phases,,,,Credential Exchange;Credential Management,,,,2026-08-29
SRC-0020,NORM-007,normative-ISO,ISO/IEC TS 23220-2 — Data objects and encoding rules for generic eID systems,ISO,2026 Edition 2 published,2026 Edition 2 published,https://www.iso.org/standard/91155.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic mobile eID data objects/exchange models,,,,Credential Exchange;Identity Information,,,,2026-08-29
SRC-0021,NORM-008,normative-ISO,ISO/IEC TS 23220-3 — Installation and issuing phase,ISO,2026 published,2026 published,https://www.iso.org/standard/86783.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,installation; issuance; derivation; discoverability,,,,Credential Management;Credential Exchange,,,,2026-08-29
SRC-0022,NORM-009,normative-ISO,ISO/IEC TS 23220-4 — Operational phase,ISO,2026 published,2026 published,https://www.iso.org/standard/86785.html,,normative-primary,material,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational interfaces; issuer authentication; holder verification,,,,Credential Exchange;Authentication,,,,2026-08-29
SRC-0023,NORM-010,normative-ISO,ISO/IEC 18013-5 — Mobile driving licence application,ISO,2021 published; revision activity monitored,2021 published; revision activity monitored,https://www.iso.org/standard/69084.html,,normative-primary,supporting,partial-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mdoc/mDL issuer holder verifier/proximity/remote presentation patterns,,,,Credential Exchange;Government Identity,,,,2026-08-29
SRC-0024,NORM-011,normative-NIST,NIST SP 800-63-4 — Digital Identity Guidelines,NIST,Final July 2025,Final July 2025,https://csrc.nist.gov/pubs/sp/800/63/4/final,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proofing; enrollment; authentication; federation; wallets; assurance,,,,Identity Establishment;Authentication;Federation;Trust Governance,,,,2026-08-29
SRC-0025,NORM-012,normative-NIST,NIST SP 800-63A-4 — Identity Proofing and Enrollment,NIST,Final July 2025,Final July 2025,https://csrc.nist.gov/pubs/sp/800/63/A/4/final,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,applicant; evidence; proofing; enrollment; IAL,,,,Identity Evidence;Identity Establishment,,,,2026-08-29
SRC-0026,NORM-013,normative-NIST,NIST SP 800-63B-4 — Authentication and Authenticator Management,NIST,Final July 2025,Final July 2025,https://csrc.nist.gov/pubs/sp/800/63/B/4/final,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claimant/subscriber; authenticator lifecycle; authentication; AAL,,,,Authentication,,,,2026-08-29
SRC-0027,NORM-014,normative-NIST,NIST SP 800-63C-4 — Federation and Assertions,NIST,Final July 2025,Final July 2025,https://csrc.nist.gov/pubs/sp/800/63/C/4/final,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,federation; assertions; RP; subscriber attributes; FAL,,,,Federation;Authentication;Identity Information,,,,2026-08-29
SRC-0028,NORM-015,normative-W3C,Verifiable Credentials Data Model 2.0,W3C,Recommendation 2025-05-15,Recommendation 2025-05-15,https://www.w3.org/TR/vc-data-model-2.0/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer holder verifier credential subject claims presentations status,,,,Credential Management;Credential Exchange;Identity Information,,,,2026-08-29
SRC-0029,NORM-016,normative-W3C,Decentralized Identifiers 1.0,W3C,Recommendation 2022-07-19; DID 1.1 monitored separately,Recommendation 2022-07-19; DID 1.1 monitored separately,https://www.w3.org/TR/did-core/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DID subject/controller/document/verification method/service,,,,Identity Representation;Credential Exchange,,,,2026-08-29
SRC-0030,NORM-017,normative-W3C,Verifiable Credential Data Integrity 1.0,W3C,Recommendation 2025-05-15,Recommendation 2025-05-15,https://www.w3.org/TR/vc-data-integrity/,,normative-primary,supporting,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proof; verification method; data integrity,,,,Identity Evidence;Credential Exchange,,,,2026-08-29
SRC-0031,NORM-018,normative-W3C,Controlled Identifiers 1.0,W3C,Recommendation 2025-05-15,Recommendation 2025-05-15,https://www.w3.org/TR/cid-1.0/,,normative-primary,supporting,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,controlled identifier; controller; verification material,,,,Identity Representation;Credential Exchange,,,,2026-08-29
SRC-0032,NORM-019,normative-W3C,Bitstring Status List 1.0,W3C,Recommendation 2025-05-15,Recommendation 2025-05-15,https://www.w3.org/TR/vc-bitstring-status-list/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,credential status; revocation/suspension status mechanisms,,,,Credential Management,,,,2026-08-29
SRC-0033,NORM-020,normative-W3C,Web Authentication Level 2,W3C,Recommendation 2021-04-08,Recommendation 2021-04-08,https://www.w3.org/TR/webauthn-2/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public-key credential; authenticator; RP; attestation; authentication ceremony,,,,Authentication,,,,2026-08-29
SRC-0034,NORM-021,normative-W3C,Web Authentication Level 3,W3C,Candidate Recommendation Snapshot 2026-05-26; proposed advancement to Recommendation 2026-07-20,Candidate Recommendation Snapshot 2026-05-26; proposed advancement to Recommendation 2026-07-20,https://www.w3.org/TR/webauthn-3/,,normative-primary,monitor,monitor-current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current authenticator/WebAuthn evolution; not stable-Recommendation authority yet,,,,Authentication,,,,2026-08-29
SRC-0035,NORM-022,normative-W3C,Digital Credentials API,W3C,Working Draft 2026-07-16,Working Draft 2026-07-16,https://www.w3.org/TR/digital-credentials/,,normative-primary,monitor,monitor-current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user-agent mediated issuance/presentation; format/protocol agnostic web API,,,,Credential Exchange,,,,2026-08-29
SRC-0036,NORM-023,normative-OpenID,OpenID Connect Core 1.0 incorporating Errata Set 2,OpenID,Final maintained lineage,Final maintained lineage,https://openid.net/specs/openid-connect-core-1_0.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OP/RP; ID Token; Subject Identifier; Claims; SSO,,,,Federation;Authentication;Identity Information,,,,2026-08-29
SRC-0037,NORM-024,normative-OpenID,OpenID for Verifiable Presentations 1.0,OpenID,Final July 2025,Final July 2025,https://openid.net/specs/openid-4-verifiable-presentations-1_0.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verifier/Wallet/presentation request/response lifecycle,,,,Credential Exchange,,,,2026-08-29
SRC-0038,NORM-025,normative-OpenID,OpenID for Verifiable Credential Issuance 1.0,OpenID,Final September 2025,Final September 2025,https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,credential issuer; wallet; offer/request/issuance,,,,Credential Management;Credential Exchange,,,,2026-08-29
SRC-0039,NORM-026,normative-OpenID,OpenID Federation 1.1,OpenID,Final 2026-05-06,Final 2026-05-06,https://openid.net/specs/openid-federation-1_1-final.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,federation entity; entity statement; trust chain; trust anchor; policy,,,,Federation;Trust Governance,,,,2026-08-29
SRC-0040,NORM-027,normative-OpenID,Authorization API 1.0 / AuthZEN,OpenID,Final January 2026,Final January 2026,https://openid.net/specs/authorization-api-1_0.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject/resource/action/context/decision; PDP/PEP interaction,,,,Authorization,,,,2026-08-29
SRC-0041,NORM-028,normative-IETF,SCIM Core Schema RFC 7643,IETF,Internet Standard lineage/current with updates tracked,Internet Standard lineage/current with updates tracked,https://www.rfc-editor.org/rfc/rfc7643,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User/Group resources; schemas; membership,,,,Identity Administration;Identity Information,,,,2026-08-29
SRC-0042,NORM-029,normative-IETF,SCIM Protocol RFC 7644,IETF,Internet Standard lineage/current with updates tracked,Internet Standard lineage/current with updates tracked,https://www.rfc-editor.org/rfc/rfc7644,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,provisioning CRUD/filter/bulk/service-provider behavior,,,,Identity Administration,,,,2026-08-29
SRC-0043,NORM-030,normative-IETF,OAuth 2.0 Token Exchange RFC 8693,IETF,RFC 8693,RFC 8693,https://www.rfc-editor.org/rfc/rfc8693,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,token exchange; subject token; actor token; impersonation/delegation patterns,,,,Workload Identity;Authorization;Federation,,,,2026-08-29
SRC-0044,NORM-031,normative-IETF,JSON Web Token RFC 7519,IETF,RFC 7519,RFC 7519,https://www.rfc-editor.org/rfc/rfc7519,,normative-primary,supporting,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claim container/token representation,,,,Federation;Authentication;Authorization,,,,2026-08-29
SRC-0045,NORM-032,normative-IETF,OAuth 2.0 Security Best Current Practice RFC 9700,IETF,RFC 9700 January 2025,RFC 9700 January 2025,https://www.rfc-editor.org/rfc/rfc9700,,normative-primary,supporting,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,security constraints on OAuth deployments,,,,Federation;Authorization;Authentication,,,,2026-08-29
SRC-0046,NORM-033,normative-OASIS,SAML 2.0,OASIS,OASIS Standard stable lineage,OASIS Standard stable lineage,https://docs.oasis-open.org/security/saml/v2.0/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IdP/SP; assertions; subject; attributes; federation,,,,Federation;Authentication;Identity Information,,,,2026-08-29
SRC-0047,NORM-034,normative-OASIS,XACML 3.0 Core,OASIS,OASIS Standard stable lineage,OASIS Standard stable lineage,https://docs.oasis-open.org/xacml/3.0/xacml-3.0-core-spec-os-en.html,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject/resource/action/environment; request/decision; policies,,,,Authorization,,,,2026-08-29
SRC-0048,NORM-035,normative-FIDO,FIDO2/WebAuthn/CTAP specification family,FIDO,current stable/proposed-standard lineage,current stable/proposed-standard lineage,https://fidoalliance.org/specifications/,,normative-primary,material,needs-section-esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,authenticator/client/platform; passkeys; CTAP; strong authentication,,,,Authentication,,,,2026-08-29
SRC-0049,EUDI-S001,EU-EUDI,Regulation (EU) 2024/1183 — European Digital Identity Framework,European Union / EUDI ecosystem,in force; amends eIDAS 910/2014,in force; amends eIDAS 910/2014,https://eur-lex.europa.eu/eli/reg/2024/1183/oj,,regulatory-primary,material,existing-summary-needs-exhaustive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wallet legal framework; user control; PID/EAA; relying parties; certification; trust ecosystem,full article-level extraction/reconciliation still required,,,Government Identity;Trust Governance;Credential Exchange;Identity Assurance,,EU regulatory/framework alignment,,2026-08-29
SRC-0050,EUDI-S002,EU-EUDI,Commission Implementing Regulation (EU) 2024/2977 — PID and EAA,European Union / EUDI ecosystem,in force; changed; current consolidated version 2026-08-11,in force; changed; current consolidated version 2026-08-11,https://eur-lex.europa.eu/eli/reg_impl/2024/2977/oj/eng,,regulatory-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wallet user; wallet unit; wallet solution; PID; EAA; providers; issuance; revocation; cryptographic binding,annex and full consolidated article coverage pending,,,Government Identity;Credential Management;Credential Exchange;Identity Evidence,,EU regulatory/framework alignment,,2026-08-29
SRC-0051,EUDI-S003,EU-EUDI,Commission Implementing Regulation (EU) 2024/2979 — Wallet integrity and core functionalities,European Union / EUDI ecosystem,in force; amended in 2026 lineage,in force; amended in 2026 lineage,https://eur-lex.europa.eu/eli/reg_impl/2024/2979/oj/eng,,regulatory-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wallet unit; wallet instance; wallet provider; wallet unit attestation; WSCA/WSCD; user authentication; disclosure policy; status/revocation,full consolidated-version and annex coverage pending,,,Credential Exchange;Authentication;Identity Evidence;Trust Governance,,EU regulatory/framework alignment,,2026-08-29
SRC-0052,EUDI-S004,EU-EUDI,Commission Implementing Regulation (EU) 2024/2980 — ecosystem notifications,European Union / EUDI ecosystem,in force; amended lineage,in force; amended lineage,https://eur-lex.europa.eu/eli/reg_impl/2024/2980/oj/eng,,regulatory-primary,material,initial-review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notifications; trusted providers/entities; ecosystem status,article/annex extraction pending,,,Trust Governance;Government Identity,,EU regulatory/framework alignment,,2026-08-29
SRC-0053,EUDI-S005,EU-EUDI,Commission Implementing Regulation (EU) 2024/2981 — certification of EUDI Wallets,European Union / EUDI ecosystem,in force,in force,https://eur-lex.europa.eu/eli/reg_impl/2024/2981/oj/eng,,regulatory-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,certification; certification scheme; scheme owner; conformity assessment; object of certification; assurance level high; wallet solution/component boundary,annex requirements and exact conformity-role mapping pending,,,Trust Governance;Credential Exchange,,EU regulatory/framework alignment,,2026-08-29
SRC-0054,EUDI-S006,EU-EUDI,Commission Implementing Regulation (EU) 2024/2982 — protocols and interfaces,European Union / EUDI ecosystem,in force; changed; current consolidated version 2026-08-11,in force; changed; current consolidated version 2026-08-11,https://eur-lex.europa.eu/eli/reg_impl/2024/2982/oj/eng,,regulatory-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuance/presentation interfaces; wallet-relying-party certificates; wallet unit attestation; selective disclosure; user approval; key possession; erasure requests,annex standards and consolidated amendments pending full extraction,,,Credential Exchange;Authentication;Federation;Identity Evidence,,EU regulatory/framework alignment,,2026-08-29
SRC-0055,EUDI-S007,EU-EUDI,Commission Implementing Regulation (EU) 2025/848 — Wallet-Relying Party registration,European Union / EUDI ecosystem,in force; applies from 2026-12-24; amended by 2026 lineage,in force; applies from 2026-12-24; amended by 2026 lineage,https://eur-lex.europa.eu/eli/reg_impl/2025/848/oj/eng,,regulatory-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wallet-relying party; national register; registrar; intended use; access certificate; registration certificate; entitlement; suspension/cancellation; record retention,current amended/consolidated 2026 text and all annex fields pending,,,Trust Governance;Federation;Credential Exchange;Authorization,,EU regulatory/framework alignment,,2026-08-29
SRC-0056,EUDI-S008,EU-EUDI,Commission Implementing Regulation (EU) 2026/1730,European Union / EUDI ecosystem,2026-07-15 amending act,2026-07-15 amending act,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1730,,regulatory-primary,material,registered-needs-extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amends relying-party registration technical/standards lineage,exact deltas to 2025/848 pending structured extraction,,,Trust Governance;Federation;Credential Exchange,,EU regulatory/framework alignment,,2026-08-29
SRC-0057,EUDI-S009,EU-EUDI,Commission Implementing Regulation (EU) 2026/1731,European Union / EUDI ecosystem,2026-07-15 amending act,2026-07-15 amending act,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32026R1731,,regulatory-primary,material,registered-needs-extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amends PID/EAA, integrity/core, notification, protocols/interfaces standards/specifications",exact changed annex/specification references pending structured extraction,,,Credential Exchange;Trust Governance;Government Identity;Authentication,,EU regulatory/framework alignment,,2026-08-29
SRC-0058,EUDI-S010,EU-EUDI,EUDI Wallet Architecture and Reference Framework v3.0.0,European Union / EUDI ecosystem,Latest release; 2026-07-21; GitHub release published 2026-07-23,Latest release; 2026-07-21; GitHub release published 2026-07-23,https://github.com/eu-digital-identity-wallet/eudi-doc-architecture-and-reference-framework/releases/tag/v3.0.0,,normative-primary,material,substantive-pass-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roles; trust model; Relying Party Services; wallet-to-wallet; Trusted Lists; LoTEs; trust anchors; FCAF; high-level requirements,chapter/annex/HLR raw extraction pending,,,Credential Exchange;Trust Governance;Government Identity;Federation;Authentication,,EU regulatory/framework alignment,,2026-08-29
