row_id,neighbor_ontology,external_construct,construct_type,external_semantics,cm4di_relevance,mapping_or_disposition,formalization_implication,source,coverage_status,notes
NCMP-024,ODRL,odrl:Policy,class,policy grouping rules over assets/actions/parties,AccessPolicy neighboring rich policy model,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-025,ODRL,odrl:Permission,class/rule,permitted action over target under possible constraints/duties,Partial overlap with CM4DI Permission/AccessGrant semantics,bridge-partial-overlap,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-026,ODRL,odrl:Prohibition,class/rule,prohibited action over target,Outside minimal CM4DI permission kernel unless authorization profile requires explicit denial semantics,bridge-if-needed,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-027,ODRL,odrl:Duty,class/rule,obligation required in policy/permission context,Generic obligation semantics outside CM4DI Core,external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-028,ODRL,odrl:Constraint,class,constraint/refinement limiting rule applicability,Potential bridge to AccessCondition,bridge,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-029,ODRL,odrl:Action,class,action governed by policy,Partial overlap with CM4DI Action; exact correspondence requires action-universe/context review,bridge-partial-overlap,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/TR/odrl-model/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-030,DPV,dpv:PersonalData,class,personal data category in privacy/data-processing domain,IdentityAttribute/Claim may refer to personal data but are not equivalent,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-031,DPV,dpv:Processing,class,processing operation over data,Privacy/data-use layer outside CM4DI Core,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-032,DPV,dpv:Purpose,class,purpose for processing/use,Bridge for presentation/intended-use/privacy scenarios; not Core,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-033,DPV,dpv:LegalBasis,class,legal basis for processing,Regulatory/privacy boundary; not TrustFramework or LegalIdentity,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-034,DPV,dpv:Consent,class,consent concept in privacy/data-processing domain,Boundary mapping for user authorization/privacy; distinct from authentication or access grant,bridge-external-owner,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
NCMP-035,DPV,dpv:Technology,class,technology applied to processing/personal-data context,Operational technology metadata only; not identity ontology class,monitor,Review exact OWL/RDF import or bridge semantics under #69,https://www.w3.org/community/reports/dpvcg/CG-FINAL-dpv-20240801/,substantive-seed,Derived from governed neighbor extraction; source-level closure under #137.
