mapping_id,source_id,source_title,source_construct_id,source_construct_label,source_construct_type,source_definition_or_statement,source_locator,cm4di_target_id,cm4di_target_label,cm4di_target_type,cm4di_domain_id,cm4di_bounded_context_id,mapping_predicate,mapping_direction,confidence,evidence_rationale,semantic_difference,anti_equivalence_note,lifecycle_difference,constraint_difference,formalization_difference,cq_ids,disposition,requires_issue,notes
CM4DI-MAP0035,SPIFFE,SPIFFE,,SPIFFE Verifiable Identity Document,operational/standard construct,SVID directly corresponds to P03 credential specialization.,,CM4DI-C3012,SVID,kind,CM4DI-D0011,CM4DI-BC0009,exact,external→CM4DI,high,SVID directly corresponds to P03 credential specialization.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
CM4DI-MAP0036,SPIFFE,SPIFFE,,SPIFFE Trust Domain,operational/standard construct,Direct profile correspondence.,,CM4DI-C3010,TrustDomain,kind,CM4DI-D0011,CM4DI-BC0009,exact,external→CM4DI,high,Direct profile correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
CM4DI-MAP0037,SPIFFE,SPIFFE,,SPIFFE Trust Bundle,operational/standard construct,Direct profile correspondence to trust material artifact.,,CM4DI-C3011,TrustBundle,kind,CM4DI-D0011,CM4DI-BC0009,exact,external→CM4DI,high,Direct profile correspondence to trust material artifact.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
CM4DI-MAP0038,SPIRE,SPIRE,,SPIRE Workload Attestation,operational/standard construct,Direct event/process correspondence.,,CM4DI-C3009,WorkloadAttestation,event,CM4DI-D0011,CM4DI-BC0009,exact,external→CM4DI,high,Direct event/process correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
CM4DI-MAP0039,SPIRE,SPIRE,,SPIRE Node Attestation,operational/standard construct,Direct event/process correspondence.,,CM4DI-C3008,NodeAttestation,event,CM4DI-D0011,CM4DI-BC0009,exact,external→CM4DI,high,Direct event/process correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P03
CM4DI-MAP0040,Kubernetes,Kubernetes,,Kubernetes ServiceAccount,operational/standard construct,Kubernetes object implements non-human account representation.,,CM4DI-C3003,ServiceAccount,kind,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Kubernetes object implements non-human account representation.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0041,Kubernetes,Kubernetes,,Kubernetes projected service-account token,operational/standard construct,Short-lived token credential used by workload.,,CM4DI-C3013,TemporaryCredential,kind,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Short-lived token credential used by workload.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0042,Microsoft Entra,Microsoft Entra,,Microsoft Entra service principal,operational/standard construct,Tenant-local application security principal; implementation alignment not universal equivalence.,,CM4DI-C3004,ServicePrincipal,roleMixin,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Tenant-local application security principal; implementation alignment not universal equivalence.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0043,Microsoft Entra,Microsoft Entra,,Microsoft Entra managed identity,operational/standard construct,Platform-managed workload identity pattern.,,CM4DI-C3005,ManagedIdentity,roleMixin,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Platform-managed workload identity pattern.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0044,Microsoft Entra,Microsoft Entra,,Microsoft Entra device object,operational/standard construct,"Directory representation of device, not device itself.",,CM4DI-C3007,DeviceIdentityRecord,kind,CM4DI-D0012,CM4DI-BC0010,implementation,external→CM4DI,medium,"Directory representation of device, not device itself.",,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0045,Google Cloud,Google Cloud,,Google Security Token Service workload federation exchange,operational/standard construct,Exchanges external assertion for local short-lived credentials.,,CM4DI-C3014,TokenExchange,event,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Exchanges external assertion for local short-lived credentials.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0046,Google Cloud,Google Cloud,,Google Cloud service account,operational/standard construct,Operational machine account representation.,,CM4DI-C3003,ServiceAccount,kind,CM4DI-D0011,CM4DI-BC0009,implementation,external→CM4DI,medium,Operational machine account representation.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0047,Google Cloud,Google Cloud,,Google Workload Identity Federation external workload,operational/standard construct,Google external workload is one workload identity subject form.,,CM4DI-C3001,Workload,kind,CM4DI-D0011,CM4DI-BC0009,narrower,external→CM4DI,medium,Google external workload is one workload identity subject form.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0048,Microsoft Entra Agent ID,Microsoft Entra Agent ID,,Microsoft Entra Agent Identity,operational/standard construct,Operational representation of an AI/software agent.,,CM4DI-C3017,AgentIdentity,kind,CM4DI-D0013,CM4DI-BC0011,implementation,external→CM4DI,medium,Operational representation of an AI/software agent.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0049,Microsoft Entra Agent ID,Microsoft Entra Agent ID,,Microsoft Entra agent sponsor,operational/standard construct,Accountability role maps to P03 sponsor.,,CM4DI-C3018,AgentSponsor,roleMixin,CM4DI-D0013,CM4DI-BC0011,implementation,external→CM4DI,medium,Accountability role maps to P03 sponsor.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0050,AWS AgentCore,AWS AgentCore,,AWS AgentCore agent identity,operational/standard construct,Specialized workload/agent identity representation.,,CM4DI-C3017,AgentIdentity,kind,CM4DI-D0013,CM4DI-BC0011,implementation,external→CM4DI,medium,Specialized workload/agent identity representation.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0051,RFC 8693,RFC 8693,,OAuth 2.0 Token Exchange actor/subject delegation,operational/standard construct,Protocol actor-subject separation implements delegated/on-behalf-of semantics.,,CM4DI-C0030,Delegation,relator,CM4DI-D0007,CM4DI-BC0005,related,external→CM4DI,medium,Protocol actor-subject separation implements delegated/on-behalf-of semantics.,,No lexical equivalence inference.,,,,,reviewed,,profile P03
CM4DI-MAP0052,NIST SP 800-63A-4,NIST SP 800-63A-4,,NIST Identity Assurance Level,operational/standard construct,IAL maps to identity-proofing assurance dimension.,,CM4DI-C0020,AssuranceAssessment,kind,CM4DI-D0003,CM4DI-BC0002,implementation,external→CM4DI,medium,IAL maps to identity-proofing assurance dimension.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0053,NIST SP 800-63B-4,NIST SP 800-63B-4,,NIST Authentication Assurance Level,operational/standard construct,AAL maps to authentication assurance dimension.,,CM4DI-C0020,AssuranceAssessment,kind,CM4DI-D0003,CM4DI-BC0002,implementation,external→CM4DI,medium,AAL maps to authentication assurance dimension.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0054,NIST SP 800-63C-4,NIST SP 800-63C-4,,NIST Federation Assurance Level,operational/standard construct,FAL maps to federation assurance dimension.,,CM4DI-C0020,AssuranceAssessment,kind,CM4DI-D0003,CM4DI-BC0002,implementation,external→CM4DI,medium,FAL maps to federation assurance dimension.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0055,eIDAS/EUDI,eIDAS/EUDI,,EUDI/eIDAS trust framework,operational/standard construct,EU governed rules/status ecosystem is a profile implementation.,,CM4DI-C4001,TrustFramework,kind,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,EU governed rules/status ecosystem is a profile implementation.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0056,EUDI,EUDI,,EUDI Person Identification Data,operational/standard construct,Direct government-profile data-set correspondence.,,CM4DI-C4016,PersonIdentificationData,kind,CM4DI-D0015,CM4DI-BC0013,exact,external→CM4DI,high,Direct government-profile data-set correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P04
CM4DI-MAP0057,EUDI,EUDI,,EUDI Electronic Attestation of Attributes,operational/standard construct,EAA is a regulated attestation specialization.,,CM4DI-C4017,GovernmentAttestation,kind,CM4DI-D0015,CM4DI-BC0013,narrower,external→CM4DI,medium,EAA is a regulated attestation specialization.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0058,eIDAS,eIDAS,,EU Trusted List,operational/standard construct,Official list communicates trust-service/provider status.,,CM4DI-C4004,TrustedList,kind,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Official list communicates trust-service/provider status.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0059,UK Government,UK Government,,UK Digital Identity and Attributes Trust Framework,operational/standard construct,Jurisdiction-specific governed trust framework.,,CM4DI-C4001,TrustFramework,kind,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Jurisdiction-specific governed trust framework.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0060,UK Government,UK Government,,UK DVS certification/trust-mark process,operational/standard construct,Certification establishes governed provider status.,,CM4DI-C4011,Certification,event,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Certification establishes governed provider status.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0061,UK Government,UK Government,,UK GPG45 identity confidence profile,operational/standard construct,Identity confidence maps to proofing/identity assurance assessment dimensions.,,CM4DI-C0020,AssuranceAssessment,kind,CM4DI-D0003,CM4DI-BC0002,implementation,external→CM4DI,medium,Identity confidence maps to proofing/identity assurance assessment dimensions.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0062,DIACC,DIACC,,Pan-Canadian Trust Framework,operational/standard construct,Jurisdictional trust framework realization.,,CM4DI-C4001,TrustFramework,kind,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Jurisdictional trust framework realization.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0063,Australia Digital ID,Australia Digital ID,,Australian Digital ID participant accreditation/registration,operational/standard construct,Governed participation status distinct from subject enrollment.,,CM4DI-C4013,EcosystemParticipation,relator,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Governed participation status distinct from subject enrollment.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0064,Government frameworks,Government frameworks,,Government digital-ID system authority/regulator role,operational/standard construct,Neutral governance role covers jurisdiction-specific authorities without exact-equivalence claim.,,CM4DI-C4007,GovernanceAuthority,roleMixin,CM4DI-D0014,CM4DI-BC0012,implementation,external→CM4DI,medium,Neutral governance role covers jurisdiction-specific authorities without exact-equivalence claim.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0065,OpenID Federation 1.1,OpenID Federation 1.1,,OpenID Federation Trust Anchor,operational/standard construct,Direct technical-trust role correspondence.,,CM4DI-C4005,TrustAnchor,roleMixin,CM4DI-D0014,CM4DI-BC0012,exact,external→CM4DI,high,Direct technical-trust role correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P04
CM4DI-MAP0066,OpenID Federation 1.1,OpenID Federation 1.1,,OpenID Federation Trust Chain,operational/standard construct,Direct profile correspondence.,,CM4DI-C4006,TrustChain,kind,CM4DI-D0014,CM4DI-BC0012,exact,external→CM4DI,high,Direct profile correspondence.,,Exact correspondence remains profile-scoped.,,,,,reviewed,,profile P04
CM4DI-MAP0067,NIST/UK/Canada/Australia,NIST/UK/Canada/Australia,,NIST CSP / UK IDSP / government identity provider roles,operational/standard construct,Neutral provider role related to several framework-specific roles whose scopes differ.,,CM4DI-C4018,IdentityServiceProvider,roleMixin,CM4DI-D0015,CM4DI-BC0013,related,external→CM4DI,medium,Neutral provider role related to several framework-specific roles whose scopes differ.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
CM4DI-MAP0068,World Bank ID4D,World Bank ID4D,,World Bank foundational/legal identity concept,operational/standard construct,Legal/foundational identity basis supports profile semantics but is not exact cross-jurisdiction equivalence.,,CM4DI-C4015,LegalIdentity,kind,CM4DI-D0015,CM4DI-BC0013,related,external→CM4DI,medium,Legal/foundational identity basis supports profile semantics but is not exact cross-jurisdiction equivalence.,,No lexical equivalence inference.,,,,,reviewed,,profile P04
ALN-001,gUFO,gUFO,,Role,ontology construct,,,CM4DI-C0025,Principal,roleMixin,CM4DI-D0007,CM4DI-BC0005,related-to,neighbor↔CM4DI,medium,Principal is a contextual authorization role pattern but its exact UFO projection must be decided in #69,,vendor IAM Role and gUFO Role are not equivalent,,,,,align,,provisional
ALN-002,gUFO,gUFO,,RoleMixin,ontology construct,,,CM4DI-C0002,IdentitySubject,roleMixin,CM4DI-D0001,CM4DI-BC0001,related-to,neighbor↔CM4DI,high,Gate-C models IdentitySubject as contextual roleMixin over heterogeneous identity-bearing entities,,IdentitySubject is not a rigid common superclass,,,,,align,,provisional
ALN-003,gUFO,gUFO,,Relator,ontology construct,,,CM4DI-C0010,IdentityBinding,relator,CM4DI-D0003,CM4DI-BC0002,related-to,neighbor↔CM4DI,high,IdentityBinding is modeled as a relator-mediated semantic pattern,,database foreign key is not a relator,,,,,align,,provisional
ALN-004,gUFO,gUFO,,Relator,ontology construct,,,CM4DI-C0029,AccessGrant,relator,CM4DI-D0007,CM4DI-BC0005,related-to,neighbor↔CM4DI,high,AccessGrant is a durable authorization relator distinct from decision/session,,role assignment implementation object is not automatically AccessGrant,,,,,align,,provisional
ALN-005,gUFO,gUFO,,Relator,ontology construct,,,CM4DI-C0030,Delegation,relator,CM4DI-D0007,CM4DI-BC0005,related-to,neighbor↔CM4DI,high,Delegation is modeled as authority-bearing relator pattern,,token exchange is implementation/protocol evidence rather than the delegation itself,,,,,align,,provisional
ALN-006,ONTrust,ONTrust,,generic trust relation,ontology construct,,,CM4DI-C0031,TrustAssessment,kind,CM4DI-D0014,CM4DI-BC0012,partially-overlaps,neighbor↔CM4DI,high,CM4DI should align identity-specific trust assessment to generic well-founded trust semantics,,TrustAssessment != TrustFramework != TrustRegistry != TrustAnchor,,,,,bridge,,provisional
ALN-007,PROV-O,PROV-O,,prov:wasDerivedFrom,ontology construct,,,profile/relation scope,Claim/Evidence/Credential provenance,,,,bridge-to,neighbor↔CM4DI,high,Use PROV for source/derivation provenance rather than creating generic provenance relations,,derivation is not identity binding or semantic equality,,,,,bridge,,provisional
ALN-008,PROV-O,PROV-O,,prov:wasAttributedTo,ontology construct,,,profile/relation scope,Claim/Evidence provenance,,,,bridge-to,neighbor↔CM4DI,high,Attribution can support issuer/source provenance,,attribution does not imply truth or trust,,,,,bridge,,provisional
ALN-009,W3C ORG,W3C ORG,,org:Organization,ontology construct,,,external neighbor,organization boundary,,,,bridge-to,neighbor↔CM4DI,high,Use ORG for organizational structure when needed by B2B/governance scenarios,,Organization != AccessGroup,,,,,bridge,,provisional
ALN-010,W3C ORG,W3C ORG,,org:Membership,ontology construct,,,external neighbor,organization membership boundary,,,,bridge-to,neighbor↔CM4DI,high,Use ORG membership for Agent-Organization-Role membership semantics,,Membership != GroupMembership access grouping != AccessGrant,,,,,bridge,,provisional
ALN-011,ODRL,ODRL,,odrl:Permission,ontology construct,,,CM4DI-C0028,Permission,kind,CM4DI-D0007,CM4DI-BC0005,partially-overlaps,neighbor↔CM4DI,medium,CM4DI Permission is a minimal authorization-semantic construct; ODRL permission belongs to a richer policy model,,do not make the two exact without context/asset/action analysis,,,,,bridge,,provisional
