cq_id,scope,question,purpose,required_concepts,required_relations,external_source_families,evaluation_target,current_support_state,reasoning_or_query_plan,next_action
CM4DI-CQ0015,Core+TrustGovernance,"What assurance dimension and level/value applies to a proofing, authentication, federation or attribute assessment?",Avoid overloaded assurance level,AssuranceAssessment,assessmentTarget;hasAssuranceAssessment,NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4;UK Government,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0016,Core,Which Principal requests or receives authorization to perform what Action on what Resource?,Minimal authorization kernel,Principal;Action;Resource;AuthorizationRequest,requestPrincipal;requestAction;requestResource,,SPARQL,core-normative-support-to-bind,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0017,Core,"What AuthorizationContext was considered in an authorization evaluation, and how is it distinct from the subject's IdentityContext?",Context anti-conflation,AuthorizationContext;IdentityContext;AuthorizationRequest;DigitalIdentity,requestContext;interpretedIn,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0018,Core,What explicit decision did an Authorization produce for a given request?,Authorization result semantics,Authorization;AuthorizationRequest;AuthorizationResult,evaluatesRequest;producesAuthorizationResult,,SPARQL,core-normative-support-to-bind,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0019,Core,What Permission authorizes which Action on what Resource or resource scope?,Permission semantics,Permission;Action;Resource,permitsAction;permissionAppliesTo,,SPARQL,core-normative-support-to-bind,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0020,Core,"What AccessGrant assigns which Permission to which Principal, with what scope and validity?",Durable grant vs runtime decision,AccessGrant;Permission;Principal;Resource,grantPrincipal;grantPermission;grantScope,AWS;Google Cloud,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0021,Core+AgentIdentity,"When one actor acts on behalf of another, what Delegation authorizes that relationship and within what scope?",Delegation semantics,Delegation;Principal;Permission,delegator;delegatee;delegatedPermission,RFC 8693,SPARQL,mapped-source-support,SPARQL,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0022,Core+TrustGovernance,"What TrustAssessment or external Trust relation concerns which parties/claims/credentials, and what evidence/reference supports it?",Trust hook semantics,TrustAssessment;TrustReference;Party;Evidence,trustTarget;trustSupportedBy;trustAlignsTo,,scenario,core-normative-support-to-bind,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0023,TrustGovernance,"Can a TrustFramework, TrustRegistry and TrustAnchor be represented in the Trust Governance Context without being subclasses or synonyms of TrustAssessment?",Trust Governance boundary,TrustAssessment;TrustFramework;TrustRegistry;TrustAnchor,governs;governedBy;terminatesAt;trustAlignsTo,eIDAS/EUDI;UK Government;DIACC;OpenID Federation 1.1,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0024,IdentityAdministration,"How is an Account related to its IdentitySubject and DigitalIdentity, and how can multiple external accounts be linked without asserting account or subject equality by default?",Enterprise representation and account-linking boundary,Account;IdentitySubject;DigitalIdentity,representsAccount;linkedAccount;represents,AWS,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0025,Authentication,"Which Session was established after an Authentication, and can that Session expire or be revoked without changing the AuthenticationResult?",Session separation,Authentication;AuthenticationResult;Session,producesAuthenticationResult;establishesSession,AWS,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0026,CredentialExchange,"Who plays Issuer, Holder and CredentialPresentationVerifier roles in a credential exchange, and can the Holder differ from the Credential subject?",Credential exchange interaction roles,Issuer;Holder;CredentialPresentationVerifier;Credential;IdentitySubject,issues;holds;evaluatesPresentation;credentialAbout,W3C VC 2.0;ISO mdoc,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0027,WorkloadIdentity,Can a Workload be the IdentitySubject while its ServiceAccount or ServicePrincipal is a representation or Principal rather than the workload itself?,Workload anti-conflation,Workload;IdentitySubject;ServiceAccount;ServicePrincipal;Principal,usesServiceAccount;playsServicePrincipal,Google Cloud;Kubernetes;Microsoft Entra,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0028,DeviceIdentity,"Can a Device be an IdentitySubject and separately play Authenticator, while its device record and device credential remain distinct artifacts?",Device anti-conflation,Device;IdentitySubject;Authenticator;DeviceIdentityRecord;Credential,representedByDeviceRecord;playedBy,Microsoft Entra;W3C VC 2.0;ISO mdoc,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0029,AgentIdentity,Can an AI Agent use autonomous AccessGrant semantics or delegated rights while remaining a non-human actor with an accountable AgentSponsor?,Agent identity/delegation,AIAgent;AgentIdentity;AgentSponsor;Principal;AccessGrant;Delegation,agentRepresentedBy;sponsoredBy;usesAutonomousGrant;usesDelegation,Microsoft Entra Agent ID;AWS AgentCore;AWS;Google Cloud;RFC 8693,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0030,GovernmentIdentity+TrustGovernance,"Can LegalIdentity, PersonIdentificationData and institutional Certification be represented across Government Identity and Trust Governance without redefining DigitalIdentity or IdentitySubject?",Government and governance scope protection,LegalIdentity;PersonIdentificationData;DigitalIdentity;IdentitySubject;Certification,legalBasisFor;expressedBy;represents;certifies,World Bank ID4D;EUDI;UK Government,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0031,Federation+Boundary,"Can Social Login be mapped as federation/authentication while SocialIdentity, Persona and Reputation remain outside CM4DI semantics?",Social-identity boundary regression,Federation;Authentication;SocialIdentity,mapsTo,OASIS SAML;OpenID Connect,scenario,mapped-source-support,scenario,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0032,Cross-context,"Can the same Core represent a federated employee login, a verifiable-credential presentation, a SPIFFE workload authentication and a government digital-ID scenario without introducing vendor/protocol classes into Core?",Cross-paradigm sufficiency,Core concepts;Profile views,profileComposes;mapsTo,,comparative evaluation,core-normative-support-to-bind,comparative evaluation,Bind exact source locators and executable query after #60/#69
CM4DI-CQ0033,P01,Which Account represents a given IdentitySubject in a specified AdministrativeDomain?,Test subject/account/domain separation,Account;AdministrativeDomain;IdentitySubject,,AWS;Keycloak;PingOne,Return local account representations without treating them as subjects.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0034,P01,Which IdentitySource is authoritative for a specified attribute in a UserProfile?,Test provenance/source authority,IdentitySource;AuthoritativeIdentitySource;UserProfile;IdentityAttribute;Evidence,,Okta,Resolve controlling source for profile data.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0035,P01,Which FederationConnection and broker mediate an authentication between external and local domains?,Test federation mediation,Federation;FederationConnection;IdentityBroker;Authentication;Party;RelyingParty,,OASIS SAML;OpenID Connect;Auth0;Keycloak,Trace configured federation path.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0036,P01,Did a successful AuthenticationResult establish a Session and what is its independent lifecycle status?,Separate result from session,Session;AuthenticationResult,,AWS,Trace session established from authentication result.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0037,P01,Which PermissionBundle and Core Permissions support a given AccessGrant for a Principal?,Normalize IAM roles/permission sets,PermissionBundle;Principal;Permission;AccessGrant,,AWS;Google Cloud,Trace operational role bundle to semantic permission/grant.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0038,P02,"Who is the Credential subject, who currently plays Holder, and are they the same entity?",Test holder/subject distinction,Holder;Credential;IdentitySubject,,W3C VC 2.0;ISO mdoc,Return subject and holder independently.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0039,P02,Which Issuer issued a Credential and through which CredentialIssuance event?,Test issuance role/event,Issuer;Credential;CredentialIssuance,,W3C VC 2.0;ISO mdoc;OpenID4VCI,Trace credential provenance to issuer and issuance.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0040,P02,What PresentationRequest caused a CredentialPresentation and which Claims were disclosed?,Test presentation semantics,PresentationRequest;CredentialPresentation;VerifiablePresentation;Claim;Credential,,OpenID4VP;W3C VC 2.0;ISO mdoc,Trace request to presentation and disclosed claims.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0041,P02,Which VerificationMethod was used to evaluate a Proof in a presentation?,Test proof/verification mechanism separation,VerificationMethod;CredentialPresentationVerifier;Proof;Evidence,,W3C DID/Controlled Identifiers;W3C VC 2.0,Trace profile cryptographic method without redefining Proof.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0042,P02,Was SelectiveDisclosure used and which credential information remained undisclosed?,Test disclosure mode,SelectiveDisclosure;CredentialPresentation;Credential;Claim,,W3C VC ecosystem;OpenID4VP;W3C VC 2.0;ISO mdoc,Identify selective-disclosure behavior.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0043,P03,Which Workload is represented by a ServiceAccount or ManagedIdentity and which Principal role does it play?,Test workload/representation/principal separation,Workload;ServiceAccount;ManagedIdentity;IdentitySubject;Principal;DigitalIdentity,,Google Cloud;Kubernetes;Microsoft Entra,Trace non-human bearer to managed representation and principal.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0044,P03,Which WorkloadAttestation evidence grounds an IdentityBinding for a workload?,Test runtime attestation binding,WorkloadAttestation;Workload;Evidence;IdentityBinding,,SPIRE;Google Cloud,Trace attestation to subject-representation binding.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0045,P03,Which SPIFFE Identifier and SVID belong to a workload and under which TrustDomain?,Test SPIFFE semantic decomposition,SVID;TrustDomain;Workload;Identifier;Credential;IdentitySubject,,SPIFFE;Google Cloud;W3C DID Core;W3C VC 2.0;ISO mdoc,Return workload identifier credential and trust-domain scope separately.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0046,P03,"Is a Device acting as IdentitySubject, Authenticator, Principal, or more than one of these in a scenario?",Test role multiplicity without identity collapse,Device;DeviceIdentityRecord;IdentitySubject;Authenticator;Principal,,Microsoft Entra,Return contextual role occurrences for device.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0047,P03,"Does an AI Agent access a resource through autonomous AccessGrant or delegated authority, and who is its Sponsor?",Test agent authorization/accountability,AIAgent;AgentIdentity;AgentSponsor;AccessGrant;Delegation;Principal,,Microsoft Entra Agent ID;AWS AgentCore;AWS;Google Cloud;RFC 8693,Distinguish autonomous from delegated access and identify sponsor.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0048,P04,Which TrustFramework governs an EcosystemParticipation and what is its current ParticipantStatus?,Test governance participation,TrustFramework;EcosystemParticipation;ParticipantStatus;Party;TrustReference,,eIDAS/EUDI;UK Government;DIACC;Australia Digital ID,Trace participant to framework and status.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0049,P04,Which Certification or Accreditation event established a provider or assessor status?,Separate conformance lifecycles,Certification;Accreditation;ConformityAssessmentBody;Party;AssuranceAssessment,,UK Government;NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4,Trace governance status-establishing event.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0050,P04,What AssuranceAssessment dimension and level apply to proofing authentication or federation in a framework?,Test dimension-specific assurance,TrustFramework;AssuranceAssessment,,eIDAS/EUDI;UK Government;DIACC;NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4,Return assurance dimension/value without one overloaded LoA.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0051,P04,Which LegalIdentity or PersonIdentificationData grounds a government Credential about an IdentitySubject?,Test legal/digital identity separation,LegalIdentity;PersonIdentificationData;GovernmentAttestation;IdentitySubject;Credential;Claim,,World Bank ID4D;EUDI;eIDAS/EUDI;W3C VC 2.0;ISO mdoc,Trace legal basis and governed data without equating them to DigitalIdentity.,mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
CM4DI-CQ0052,P04,"Is a trust decision based on TrustAssessment, registry/certification status, or a technical TrustChain/TrustAnchor?",Test trust anti-conflation,TrustRegistry;TrustedList;TrustAnchor;TrustChain;Certification;TrustAssessment;TrustReference,,eIDAS;OpenID Federation 1.1;UK Government,"Distinguish evaluative trust, governance conformance and cryptographic trust infrastructure.",mapped-source-support,scenario/SPARQL allocation pending #69,Bind exact source locators and executable test after #60/#69
