coverage_id,relation_id,label,scope,source,target,relation_semantics_or_stereotype,cq_ids,governed_status,external_coverage_state,next_action
REL-0058,CM4DI-R1003,sourcedFrom,P01,UserProfile,IdentitySource,Profile data is obtained from an identity source.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0059,CM4DI-R1004,authoritativeFor,P01,AuthoritativeIdentitySource,IdentityAttribute,Source is authoritative for specified identity attributes/data.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0060,CM4DI-R1005,stores,P01,IdentityStore,Account,Identity store persists account representations.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0061,CM4DI-R1006,administeredWithin,P01,Account,AdministrativeDomain,Account is administered in a tenant/realm/environment boundary.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0062,CM4DI-R1007,registeredAs,P01,Application,ApplicationRegistration,Application has a domain-specific registration/configuration artifact.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0063,CM4DI-R1008,mediatesFederation,P01,FederationConnection,Federation,Configured connection realizes a federation relationship.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0064,CM4DI-R1009,brokersFor,P01,IdentityBroker,FederationConnection,Broker mediates a federation connection/flow.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0065,CM4DI-R1010,provisionsTo,P01,ProvisioningConnection,IdentityStore,Provisioning connection targets an identity store/system.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0066,CM4DI-R1011,provisionsFrom,P01,ProvisioningConnection,IdentitySource,Provisioning connection obtains identity data from a source.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0067,CM4DI-R1012,executesProvisioning,P01,Provisioning,ProvisioningConnection,Provisioning event/process occurs through a configured connection.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0068,CM4DI-R1013,usesAttributeMapping,P01,Provisioning,AttributeMapping,Provisioning uses explicit attribute/claim mappings.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0069,CM4DI-R1014,establishesSession,P01,AuthenticationResult,Session,A successful authentication result may establish a distinct session.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0070,CM4DI-R1015,bundlesPermission,P01,PermissionBundle,Permission,Operational permission bundle groups one or more Core permissions.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0071,CM4DI-R1016,governedByPolicy,P01,AccessGrant,AccessPolicy,Access grant may be governed by a profile-level access policy.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0072,CM4DI-R1017,hasCondition,P01,AccessPolicy,AccessCondition,Access policy may contain access conditions.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0073,CM4DI-R1018,memberOf,P01,Principal,AccessGroup,Principal may be an operational member of an access group.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0074,CM4DI-R1019,mediatesMembership,P01,GroupMembership,AccessGroup,GroupMembership mediates account/principal and access group.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0075,CM4DI-R1020,linkedAccount,P01,Account,Account,Explicit profile-level link indicating two account representations are correlated or co-referential under declared evidence/provenance; it does not assert account equality or subject equality automatically.,,ddd-regression-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0076,CM4DI-R2001,issues,P02,Issuer,Credential,Issuer role participates in CredentialIssuance and issues a credential.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0077,CM4DI-R2002,holds,P02,Holder,Credential,Holder possesses/controls credential independently of subjecthood.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0078,CM4DI-R2003,operatesWallet,P02,Holder,Wallet,Holder uses/controls wallet software in a credential interaction.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0079,CM4DI-R2004,servedBy,P02,Holder,HolderService,Holder may use a reusable credential/identity holding service.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0080,CM4DI-R2005,requestsPresentation,P02,CredentialPresentationVerifier,PresentationRequest,Verifier issues a request describing required credential information.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0081,CM4DI-R2006,presents,P02,Holder,CredentialPresentation,Holder participates in a credential-presentation event.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0082,CM4DI-R2007,usesCredential,P02,CredentialPresentation,Credential,Presentation derives information/evidence from credential(s).,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0083,CM4DI-R2008,producesPresentationArtifact,P02,CredentialPresentation,VerifiablePresentation,Presentation event produces a presentation information artifact.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0084,CM4DI-R2009,evaluatesPresentation,P02,CredentialPresentationVerifier,VerifiablePresentation,Presentation verifier evaluates the presentation artifact and evidence/proof.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0085,CM4DI-R2010,controlsIdentifier,P02,Controller,Identifier,Controller role controls an identifier/associated verification material.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0086,CM4DI-R2011,usesVerificationMethod,P02,Proof,VerificationMethod,Proof may be verified using a profile verification method.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0087,CM4DI-R2012,resolvesVia,P02,Identifier,VerifiableDataRegistry,Identifier/status/schema data may be resolved via a registry/service.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0088,CM4DI-R2013,hasDisclosureMode,P02,CredentialPresentation,SelectiveDisclosure,Presentation may use selective disclosure.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0089,CM4DI-R3001,executesAs,P03,RuntimeInstance,Workload,Runtime instance realizes an executing workload.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0090,CM4DI-R3002,usesServiceAccount,P03,Workload,ServiceAccount,Workload may use a service-account representation.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0091,CM4DI-R3003,playsServicePrincipal,P03,Application,ServicePrincipal,Application/service may play a domain-local service-principal role.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0092,CM4DI-R3004,managedAs,P03,Workload,ManagedIdentity,Workload may be represented through a managed-identity pattern.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0093,CM4DI-R3005,representedByDeviceRecord,P03,Device,DeviceIdentityRecord,Device identity record represents a device in a directory/registry.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0094,CM4DI-R3006,attestsNode,P03,NodeAttestation,Device,Node attestation evaluates a host/node/device context.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0095,CM4DI-R3007,attestsWorkload,P03,WorkloadAttestation,Workload,Workload attestation evaluates a runtime workload.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0096,CM4DI-R3008,groundsBinding,P03,WorkloadAttestation,IdentityBinding,Attestation evidence grounds a Core identity binding.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0097,CM4DI-R3009,scopedByTrustDomain,P03,Identifier,TrustDomain,Workload identifiers such as SPIFFE IDs are scoped by a trust domain.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0098,CM4DI-R3010,hasTrustBundle,P03,TrustDomain,TrustBundle,Trust domain is supported by a trust bundle.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0099,CM4DI-R3011,svidIdentifies,P03,SVID,Identifier,SVID carries/references a workload identifier.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0100,CM4DI-R3012,exchangesFor,P03,TokenExchange,TemporaryCredential,Token exchange may produce a short-lived credential.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0101,CM4DI-R3013,agentRepresentedBy,P03,SoftwareAgent,AgentIdentity,Agent identity representation is associated with a software agent.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0102,CM4DI-R3014,sponsoredBy,P03,AgentIdentity,AgentSponsor,Agent identity has an accountable sponsor/owner role.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0103,CM4DI-R3015,usesDelegation,P03,SoftwareAgent,Delegation,Agent delegated access reuses Core Delegation.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0104,CM4DI-R3016,usesAutonomousGrant,P03,SoftwareAgent,AccessGrant,Autonomous agent access reuses Core AccessGrant.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0105,CM4DI-R4001,governs,P04,TrustFramework,EcosystemParticipation,Trust framework governs participant relationships/statuses.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0106,CM4DI-R4002,governedBy,P04,TrustRegistry,TrustFramework,Registry/list operates under a trust/governance framework.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0107,CM4DI-R4003,containsTrustedEntry,P04,TrustedList,EcosystemParticipation,Trusted list communicates governed participant/service status.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0108,CM4DI-R4004,terminatesAt,P04,TrustChain,TrustAnchor,Technical trust chain terminates at a trust anchor.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0109,CM4DI-R4005,setsRules,P04,GovernanceAuthority,GovernanceFramework,Governance authority defines/enforces governance rules.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0110,CM4DI-R4006,registers,P04,Registrar,EcosystemParticipation,Registrar establishes or records ecosystem participation.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0111,CM4DI-R4007,oversees,P04,Regulator,EcosystemParticipation,Regulator oversees governed participants/services.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0112,CM4DI-R4008,assessesConformance,P04,ConformityAssessmentBody,Certification,CAB performs assessment supporting certification.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0113,CM4DI-R4009,certifies,P04,Certification,EcosystemParticipation,Certification establishes certified status of participation/service.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0114,CM4DI-R4010,accredits,P04,Accreditation,ConformityAssessmentBody,Accreditation establishes competence/authority of a CAB.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0115,CM4DI-R4011,hasParticipantStatus,P04,EcosystemParticipation,ParticipantStatus,Governed participation carries a lifecycle/status distinct from credential status.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0116,CM4DI-R4012,legalBasisFor,P04,LegalIdentity,IdentitySubject,Legal identity construct may provide a legal/government basis for identity subject treatment.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0117,CM4DI-R4013,expressedBy,P04,LegalIdentity,PersonIdentificationData,Person identification data expresses legal/government identity data.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0118,CM4DI-R4014,attestsGovernmentData,P04,GovernmentAttestation,PersonIdentificationData,Government attestation carries/attests governed identity data.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0119,CM4DI-R4015,providesIdentityService,P04,IdentityServiceProvider,TrustFramework,Provider participates in governed identity services under a framework.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
REL-0120,CM4DI-R4016,mapsAssuranceTo,P04,TrustFramework,AssuranceAssessment,Framework assurance taxonomies map to Core dimension-specific assessments.,,wave6-candidate,mapping/operational support to audit,External relation-level evidence closure under #135/#140
