source_record_id,family,title,owner_or_publisher,canonical_url,authority_class,materiality,primary_domains,coverage_status,issue,last_verified,notes
SM-IAM-014,Open-IAM,Keycloak Server Administration Guide,Keycloak,https://www.keycloak.org/docs/latest/server_admin/,official-project-doc,material,"Identity Administration;Federation;Authentication;Authorization",seeded-needs-exhaustive,#72,2026-08-29,"Realm/user/client/role/session/broker/user-federation operational model."
SM-IAM-015,Open-IAM,ZITADEL Organizations and IAM model,ZITADEL,https://zitadel.com/docs/guides/manage/console/organizations-overview,official-project-doc,material,"Identity Administration;Federation;Authorization;Workload Identity",seeded-needs-exhaustive,#72,2026-08-29,"Organization/project/service-account/role-assignment/account-linking evidence."
SM-DIR-001,Directory,LDAP v3,IETF,https://www.rfc-editor.org/rfc/rfc4511,normative-protocol,material,"Identity Administration;Identity Information",seeded-needs-exhaustive,#73,2026-08-29,"Directory entry/DN/attribute semantics are interoperability/storage constructs."
SM-DIR-002,Provisioning,SCIM Core Schema,IETF,https://www.rfc-editor.org/rfc/rfc7643,normative-protocol,material,"Identity Administration;Identity Information",seeded-needs-exhaustive,#73,2026-08-29,"User/Group interoperability resources; do not equate with IdentitySubject/social group."
SM-DIR-003,Provisioning,SCIM Protocol,IETF,https://www.rfc-editor.org/rfc/rfc7644,normative-protocol,material,"Identity Administration",seeded-needs-exhaustive,#73,2026-08-29,"Provisioning lifecycle/synchronization source."
SM-IMPL-001,Reference-Implementation,Keycloak repository,Keycloak,https://github.com/keycloak/keycloak,operational-implementation,supporting,"Identity Administration;Federation;Authentication;Authorization",seeded,#75,2026-08-29,"Code/implementation evidence, not ontology authority."
SM-IMPL-002,Reference-Implementation,ZITADEL repository,ZITADEL,https://github.com/zitadel/zitadel,operational-implementation,supporting,"Identity Administration;Federation;Authorization;Workload Identity",seeded,#75,2026-08-29,"Modern multitenant IAM implementation."
SM-IMPL-003,Reference-Implementation,SPIRE repository,SPIFFE,https://github.com/spiffe/spire,operational-implementation,material,"Workload Identity;Identity Evidence;Credential Management",seeded,#75,2026-08-29,"Strong workload attestation/credential implementation evidence."
SM-IMPL-004,Conformance,W3C VC Data Model 2.0 Test Suite,W3C,https://github.com/w3c/vc-data-model-2.0-test-suite,official-conformance-suite,supporting,"Credential Management;Credential Exchange",seeded,#75,2026-08-29,"Executable data-model conformance evidence."
SM-IMPL-005,Conformance,OpenID Certification Conformance Suite,OpenID Certification,https://github.com/openid-certification/conformance-suite,official-conformance-suite,supporting,"Federation;Authentication;Authorization;Credential Exchange",seeded,#75,2026-08-29,"GitHub mirror/upstream lineage and exact license must remain explicit."
SM-DATA-001,Dataset,LANL User-Computer Authentication Associations in Time,Los Alamos National Laboratory,https://doi.org/10.11578/1160076,empirical-dataset,material,"Authentication;Identity Administration",qualified,#74,2026-08-29,"Primary authentication/scale dataset."
SM-DATA-002,Dataset,Risk-Based Authentication Login Dataset,Zenodo/H-BRS/Telenor Digital,https://doi.org/10.5281/zenodo.6782156,empirical-dataset,material,"Authentication;Identity Administration;Device Identity",qualified-with-limitation,#74,2026-08-29,"Synthetic feature values; preserve qualification."
SM-DATA-003,Dataset,World Bank ID4D Global Dataset 2025,World Bank,https://id4d.worldbank.org/global-dataset,institutional-dataset,material,"Government Identity;Trust Governance",qualified,#74,2026-08-29,"Aggregate government/digital-ID context."
SM-DATA-004,Dataset,Global Findex 2025 with ID4D module,World Bank,https://doi.org/10.48529/bk9n-8r43,institutional-dataset,supporting,"Government Identity;Identity Information",qualified,#74,2026-08-29,"Person-level survey complement; no technical assurance inference."
SM-DATA-005,Dataset,LANL Comprehensive Multi-Source Cyber-Security Events,Los Alamos National Laboratory,https://csr.lanl.gov/data/cyber1/,empirical-dataset,material-candidate,"Authentication;Identity Administration;Device Identity",candidate-needs-bounded-extraction,#74,2026-08-29,"Use identity/authentication slice only; broad cyber data not ontology authority."
