normalized_id,label,decision,scope_or_profile,current_baseline_status,evidence_strength,merged_candidate_families,gate_b_rationale
CM4DI-NC021,Authorization Request,Core,Core authorization minimum,Missing,High,"STD-011; AuthZEN/XACML","Separates request information from the authorization evaluation event/result."
CM4DI-NC022,Authorization Context,Core,Core authorization minimum,Partial,Very High,"STD-012; IAM-035","Environmental/request context must remain distinct from IdentityContext."
CM4DI-NC023,Authorization Decision / Result,Core,Core,Existing as AuthorizationResult,Very High,"STD-013; IAM","Refine current result to explicit decision semantics; no duplicate class is required if AuthorizationResult is redefined cleanly."
CM4DI-NC024,Principal,Core,Core contextual role,Missing,Very High,"IAM-014; NH-015; Google/Entra/AWS/Kubernetes","Authorization targets principals that may be persons, accounts, groups or workloads; model as contextual role rather than entity kind."
CM4DI-NC025,Permission,Core,Core authorization minimum,Missing,High,"IAM-031; standards","Minimal permission semantics support mapping of RBAC/scopes/policies without importing vendor role models."
CM4DI-NC026,Access Grant / Assignment,Core,Core relator,Missing,High,"IAM-030/033; OAuth/RBAC analogues","Durable assignment of permission differs from runtime authorization decision and warrants a neutral relation/relator."
CM4DI-NC027,Delegation / actsOnBehalfOf,Core,Core relation/relator,Missing,Very High,"STD-028/029; NH-039; ACAD-021","Human and agent/workload scenarios independently require separation of actor from represented/authorizing subject."
CM4DI-NC028,Assurance Assessment,Core,Core trust/assurance pattern,Partial,Very High,"STD-004; GOV-019/034; NIST/ISO","Use generic assessment with dimension and level; do not collapse proofing, authentication and attribute assurance into one scale."
CM4DI-NC029,Trust Relation / Trust Assessment Hook,Core,Core alignment,Partial via ONTrust and TrustReference,Very High,"ACAD-011; government; standards","Retain explicit trust semantics/alignment while separating interpersonal/social trust from institutional conformance and cryptographic validation."
CM4DI-NC030,Relying Party,Core,Core contextual role,Existing but ontologically suspect,Very High,"STD-033; IAM; government","Retain the role but remodel as anti-rigid contextual role played by an organization/software/service, not a rigid kind."
CM4DI-NC031,Verifier Role Pattern,Core,Core generic interaction-role pattern,Existing but overloaded,Very High,"STD-034; ACAD-005","Keep a generic verifying role only if specialized AuthenticationVerifier and CredentialPresentationVerifier semantics remain explicit."
CM4DI-NC032,Role-in-Interaction Pattern,Core,Core modeling pattern,Partial,Very High,"ACAD-024; issuer/holder/verifier/RP evidence","Systematically model interaction actors as contextual roles rather than rigid actor classes where ontologically appropriate."
CM4DI-NC033,Account,Profile,Enterprise/Federation profile,Missing,Very High,"IAM-004/036/037; ACAD-001; nonhuman service account","A platform-local representation is distinct from subject and generic DigitalIdentity; profile-first avoids enterprise bias in Core."
CM4DI-NC034,User / Subject Profile,Profile,Enterprise/Federation profile,Helper only,High,"IAM-005; ACAD-017","Profile is a mutable information record linked to an account/subject and must not be equated with persona or subject."
CM4DI-NC035,Identity Source / Authoritative Source,Profile,Enterprise/Federation profile,Missing,Very High,"IAM-001/002/025","Operational identity source and source authority are recurrent but infrastructure-oriented."
CM4DI-NC036,Identity Store / Directory,Profile,Enterprise/Federation profile,Missing,High,"IAM-003","Directory is an infrastructure/service concept, not an identity-bearing subject."
CM4DI-NC037,Account / Identity Linking,Profile,Enterprise/Federation profile,Missing,High,"IAM-006/007","Needed for local/external identity co-reference while preserving source ownership distinctions."
CM4DI-NC038,Administrative Domain,Profile,Enterprise/Federation profile,Missing,High,"IAM-010; NH-033","Tenant/realm/environment/pool boundaries are operational administrative constructs distinct from IdentityContext and TrustDomain."
CM4DI-NC039,Application / Client,Profile,Enterprise/Federation profile,Missing,Very High,"IAM-011/012/013","Application is a software participant that may play RP/client/resource-server/principal roles; vendor registrations remain mappings."
CM4DI-NC040,Federation,Profile,Enterprise/Federation profile,Missing,Very High,"STD-005/007; IAM-019/020; NH-032","Federation is cross-platform but paradigm-specific; represent in profile using Core roles/claims/trust rather than force into minimal Core."
CM4DI-NC041,Identity Intermediary / Broker,Profile,Enterprise/Federation + Government profile,Missing,High,"IAM-020; GOV-026","Neutral mediator abstraction subsumes broker/orchestrator/exchange service roles."
CM4DI-NC042,Provisioning,Profile,Enterprise/Federation profile,Missing,Very High,"STD-027; IAM-021/022/023/038","Provisioning manages account/profile representations and is distinct from enrollment, proofing and authentication."
CM4DI-NC043,Attribute Mapping,Profile,Enterprise/Federation mapping layer,Partial,Very High,"IAM-024; implementation mappings","First-class mapping artifact is required for cross-system interoperability, but it belongs to mapping/profile layer rather than minimal domain Core."
CM4DI-NC044,Group / Access-Group Membership,Profile,Enterprise/Federation profile,Missing,High,"IAM-008/009; SOC-006 boundary","Operational access group/membership is useful but must not be conflated with sociological GroupIdentity."
CM4DI-NC045,Session,Profile,Enterprise/Federation + Authentication profile,Missing,Very High,"STD-023; IAM-027/028","Important operational security context with independent lifecycle, but not universal across all identity paradigms."
CM4DI-NC046,Permission Bundle / IAM Role,Profile,Enterprise/Federation profile,Missing,Very High,"IAM-032/033","Map vendor roles/permission sets to PermissionBundle; never to UFO SocialRole solely by label."
CM4DI-NC047,Access Policy / Condition,Profile,Enterprise/Federation profile,Helper only,Very High,"STD-014/015; IAM-034/035","Detailed policy semantics remain profile-level; Core keeps references and authorization context only."
CM4DI-NC048,Issuer Role,Profile,Wallet/VC + Trust profiles,Implicit via CSP,Very High,"ACAD-003; credential evidence; NH-028","Use neutral contextual issuer role; avoid NIST-centric CSP as universal Core provider."
CM4DI-NC049,Holder Role,Profile,Wallet/VC profile,Missing,Very High,"STD-019; ACAD-004","Holder is distinct from subject, owner/controller and subscriber."
CM4DI-NC050,Credential Presentation,Profile,Wallet/VC profile,Missing,Very High,"STD-018; ACAD-008; W3C/EUDI","Presentation is central to wallet/VC but not universal across paradigms."
CM4DI-NC051,Wallet / Holder Service,Profile,Wallet/VC profile,Missing,High,"STD-032; GOV-022/023","Wallet and holder-service semantics are profile-specific software/provider roles."
CM4DI-NC052,Controller / Verification Method / Data Registry,Profile,Wallet/VC profile,Missing,High,"STD-020/021; ACAD-014","Keep DID/VC operational constructs in profile; generic Identifier/Credential/Evidence remain Core."
CM4DI-NC053,Selective Disclosure,Profile,Wallet/VC profile,Missing,High,"GOV-021; VC evidence","Privacy-preserving disclosure is important but profile-specific."
CM4DI-NC054,Trust Framework / Governance Framework,Profile,Trust/Assurance/Government profile,Partial via TrustReference,Very High,"GOV-001; ACAD-012","Governed rule systems must be first-class in trust profile but are not equivalent to trust relations."
CM4DI-NC055,Trust Registry / Trusted List,Profile,Trust/Assurance/Government profile,Missing,Very High,"GOV-002/003; academic registry evidence","Registry/list communicates participant/service status and differs from TrustAnchor."
CM4DI-NC056,Trust Anchor / Trust Chain / Technical Trust Infrastructure,Profile,Trust/Assurance profile,Missing,High,"STD-024/025; GOV-004; ACAD-013; NH trust bundle","Cryptographic validation infrastructure is distinct from institutional governance and social trust."
CM4DI-NC057,Governance Authority / Registrar / Regulator / CAB,Profile,Trust/Assurance/Government profile,Missing,High,"GOV-005/006/007/008/032","Use neutral governance-role pattern with jurisdiction-specific specializations."
CM4DI-NC058,Certification / Accreditation / Ecosystem Participation,Profile,Trust/Assurance/Government profile,Missing,Very High,"GOV-009/010/011/012/029","Governance lifecycle/statuses are distinct from subject enrollment and credential lifecycle."
CM4DI-NC059,Legal Identity / PID / Government Attestation,Profile,Trust/Assurance/Government profile,Missing/partial,High,"GOV-014/015/016","Essential to government profile but would make Core human/legal-centric if promoted globally."
CM4DI-NC060,Pseudonym,Profile,Government/Wallet profile mapping,Representable by Identifier,Medium-High,"GOV-020","Treat as Identifier specialization carrying context/linkability constraints rather than new Core primitive."
CM4DI-NC061,Workload / Runtime Entity,Profile,Machine/Workload/Device/Agent profile,Missing,Very High,"NH-007/008","Executing workload is an identity-bearing entity, not account, principal, identifier or credential."
CM4DI-NC062,Workload Identity / Service Account,Profile,Machine/Workload/Device/Agent profile,Missing,Very High,"NH-010/011/012/013/014","Represent with Core DigitalIdentity/Account/Principal patterns and profile specializations; do not create a single MachineIdentity superclass."
CM4DI-NC063,Device / Device Identity Record,Profile,Machine/Workload/Device/Agent profile,Missing,Very High,"NH-016/017/018/019/020","Device can be identity-bearing, but registry record, credential and authenticator remain distinct."
CM4DI-NC064,Attestation / Workload Attestation,Profile,Machine/Workload/Device/Agent profile + Core Evidence,Missing,High,"NH-021/022/023","Specific attestation processes belong to profile while their evidence uses Core Evidence/Binding pattern."
CM4DI-NC065,Trust Domain / Trust Bundle,Profile,Machine/Workload + Trust profile,Missing,High,"NH-026/027","SPIFFE-style namespace/security boundary is not IdentityContext or government TrustFramework."
CM4DI-NC066,AI Agent / Agent Identity,Profile,Machine/Workload/Device/Agent profile,Missing,Medium-High,"NH-003/004/035/037/038/040","Operational evidence warrants a profile view, but the domain is too immature for Core commitment."
CM4DI-NC067,Temporary Credential / Token Exchange,Profile,Enterprise/Machine profile,Missing,Very High,"IAM-029; NH-029/030/031","Short-lived credential/exchange lifecycle is operationally important but generic Credential remains sufficient in Core."
CM4DI-NC068,Social Login,Profile,Enterprise/Federation mapping,Missing as named concept,Very High,"SOC-024","Treat solely as OIDC/OAuth federation mapping through a social-platform IdP; not SocialIdentity."
CM4DI-NC069,Social Identity Family,Social-Future,Future independent Social Identity Ontology,Excluded,Very High,"SOC-001..005; SOC-009..023","Social/group/role identity, persona, reputation, salience and related selfhood constructs form a separate research object."
CM4DI-NC070,Membership / Affiliation Social Semantics,Deferred,Reference/profile link,Representable as claim/attribute,High,"SOC-006/007/008; W3C ORG/UFO","Link to external organizational/social ontology where needed; do not duplicate full membership/social-role semantics in CM4DI."
CM4DI-NC071,Identity Ecosystem / Paradigm,Reject,Research and evaluation metadata,Missing,High,"ACAD-020/025","Useful for analysis and profile selection but not a domain ontology entity required in Core."
CM4DI-NC072,Interoperability Requirement,Reject,CQ/evaluation artifact,Not ontology class,High,"ACAD-019","Keep as requirements/CQ/mapping/evaluation metadata rather than ontologize interoperability itself."
CM4DI-NC073,Transaction Log / Audit Record,Deferred,Operational/evaluation artifact,Missing,Medium,"GOV-036; implementations","Useful for accountability/evaluation, but not needed in identity Core."
CM4DI-NC074,Privacy / User-Control Principle,Deferred,Requirements/governance profile,Partial future scope,High,"ACAD-022; GOV-035","Preserve minimal sharing authorization hooks only; full consent/privacy ontology remains out of scope."
CM4DI-NC075,Identity Pool,Reject,Vendor mapping only,Missing,Medium,"IAM-040; NH-033","Pool has incompatible vendor meanings; map to AdministrativeDomain/Federation/Namespace rather than introduce lexical superclass."
