mapping_id,profile,subject,primary_domain_id,primary_domain,primary_bounded_context,ddd_impact_status
CM4DI-MAP0058,P04,TrustedList,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0059,P04,TrustFramework,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0060,P04,Certification,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0061,P04,AssuranceAssessment,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,REVALIDATED
CM4DI-MAP0062,P04,TrustFramework,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0063,P04,EcosystemParticipation,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0064,P04,GovernanceAuthority,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0065,P04,TrustAnchor,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0066,P04,TrustChain,CM4DI-D0014,Trust Governance,CM4DI-BC0012,REVALIDATED
CM4DI-MAP0067,P04,IdentityServiceProvider,CM4DI-D0015,Government Identity,CM4DI-BC0013,REVALIDATED
CM4DI-MAP0068,P04,LegalIdentity,CM4DI-D0015,Government Identity,CM4DI-BC0013,REVALIDATED
