concept_id,concept_label,primary_domain,relational_target,mapping_pattern,status
CM4DI-C2009,VerificationMethod,Credential Exchange,verification_method,artifact-table,candidate
CM4DI-C2010,VerifiableDataRegistry,Credential Exchange,verifiable_data_registry_ref,external-service-reference,candidate
CM4DI-C2011,SelectiveDisclosure,Credential Exchange,selective_disclosure_record,mode-or-operation-record,candidate
CM4DI-C2012,VerifiablePresentation,Credential Exchange,verifiable_presentation_artifact,artifact-table,candidate
CM4DI-C3001,Workload,Workload Identity,workload,direct-entity-table,candidate
CM4DI-C3002,RuntimeInstance,Workload Identity,runtime_instance,direct-execution-table,candidate
CM4DI-C3003,ServiceAccount,Workload Identity,service_account,managed-account-table,candidate
CM4DI-C3004,ServicePrincipal,Workload Identity,service_principal,contextual-principal-representation,candidate
CM4DI-C3005,ManagedIdentity,Workload Identity,managed_identity,provider-managed-pattern-table,candidate
CM4DI-C3006,Device,Device Identity,device,direct-entity-table,candidate
CM4DI-C3007,DeviceIdentityRecord,Device Identity,device_identity_record,managed-representation-table,candidate
CM4DI-C3008,NodeAttestation,Workload Identity,node_attestation_event,event-table,candidate
CM4DI-C3009,WorkloadAttestation,Workload Identity,workload_attestation_event,event-table,candidate
CM4DI-C3010,TrustDomain,Workload Identity,trust_domain,technical-security-boundary-table,candidate
CM4DI-C3011,TrustBundle,Workload Identity,trust_bundle_ref,artifact-reference-table,candidate
CM4DI-C3012,SVID,Workload Identity,svid_credential,credential-specialization-table,candidate
CM4DI-C3013,TemporaryCredential,Workload Identity,temporary_credential,credential-specialization-table,candidate
CM4DI-C3014,TokenExchange,Workload Identity,token_exchange_event,event-table,candidate
CM4DI-C3015,SoftwareAgent,Agent Identity,software_agent,direct-entity-table,candidate
CM4DI-C3016,AIAgent,Agent Identity,ai_agent_profile,subtype-or-profile-table,candidate
CM4DI-C3017,AgentIdentity,Agent Identity,agent_identity,managed-representation-table,candidate
CM4DI-C3018,AgentSponsor,Agent Identity,agent_sponsor_assignment,contextual-role-assignment,candidate
CM4DI-C4001,TrustFramework,Trust Governance,trust_framework,normative-framework-table,candidate
CM4DI-C4002,GovernanceFramework,Trust Governance,governance_framework,normative-framework-table,candidate
CM4DI-C4003,TrustRegistry,Trust Governance,trust_registry,governed-service-table,candidate
CM4DI-C4004,TrustedList,Trust Governance,trusted_list,governed-artifact-table,candidate
CM4DI-C4005,TrustAnchor,Trust Governance,trust_anchor_ref,contextual-root-reference,candidate
CM4DI-C4006,TrustChain,Trust Governance,trust_chain_ref,structured-path-reference,candidate
CM4DI-C4007,GovernanceAuthority,Trust Governance,governance_actor_role,contextual-role-assignment,candidate
CM4DI-C4008,Registrar,Trust Governance,governance_actor_role,contextual-role-assignment,candidate
CM4DI-C4009,Regulator,Trust Governance,governance_actor_role,contextual-role-assignment,candidate
CM4DI-C4010,ConformityAssessmentBody,Trust Governance,governance_actor_role,contextual-role-assignment,candidate
CM4DI-C4011,Certification,Trust Governance,certification_event,event-table,candidate
CM4DI-C4012,Accreditation,Trust Governance,accreditation_event,event-table,candidate
CM4DI-C4013,EcosystemParticipation,Trust Governance,ecosystem_participation,relator-table,candidate
CM4DI-C4014,ParticipantStatus,Trust Governance,participant_status_history,mode-plus-history,candidate
CM4DI-C4015,LegalIdentity,Government Identity,legal_identity_ref,profile-scoped-reference-table,candidate
CM4DI-C4016,PersonIdentificationData,Government Identity,person_identification_data,governed-information-table,candidate
CM4DI-C4017,GovernmentAttestation,Government Identity,government_attestation,credential-or-attestation-table,candidate
CM4DI-C4018,IdentityServiceProvider,Government Identity,identity_service_provider_registration,contextual-role-registration,candidate
