catalog_id,evidence_id,organization,title,version_or_date,status,canonical_url_or_identifier,cm4di_domains,role,esm_materiality,coverage_status,last_verified
STD-016,CM4DI-EVID0016,W3C,"Controlled Identifiers v1.0",2025-05-15,"Recommendation","https://www.w3.org/TR/cid-1.0/","Identity Representation;Credential Exchange","source;mapping target",supporting,"existing-summary",2026-08-29
STD-017,CM4DI-EVID0017,W3C,"Bitstring Status List v1.0",2025-05-15,"Recommendation","https://www.w3.org/TR/vc-bitstring-status-list/","Credential Management","source;mapping target",supporting,"existing-summary",2026-08-29
STD-018,CM4DI-EVID0018,W3C,"Web Authentication Level 2",2021-04-08,"Recommendation","https://www.w3.org/TR/webauthn-2/","Authentication","source;mapping target;evaluation source",material,"existing-summary_needs-exhaustive",2026-08-29
STD-019,CM4DI-EVID0019,OpenID,"OpenID Connect Core 1.0 incorporating Errata Set 2",2023-12-15,"Final","https://openid.net/specs/openid-connect-core-1_0.html","Federation;Authentication;Identity Information","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-020,CM4DI-EVID0020,OpenID,"OpenID for Verifiable Presentations 1.0",2025-07,"Final","https://openid.net/specs/openid-4-verifiable-presentations-1_0.html","Credential Exchange","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-021,CM4DI-EVID0021,OpenID,"OpenID for Verifiable Credential Issuance 1.0",2025-09,"Final","https://openid.net/specs/openid-4-verifiable-credential-issuance-1_0-final.html","Credential Management;Credential Exchange","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-022,CM4DI-EVID0022,OpenID,"OpenID Federation 1.1",2026-05-06,"Final","https://openid.net/specs/openid-federation-1_1-final.html","Federation;Trust Governance","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
STD-023,CM4DI-EVID0023,OpenID,"Authorization API 1.0 (AuthZEN)",2026-01,"Final","https://openid.net/specs/authorization-api-1_0.html","Authorization","source;benchmark",material,"existing-summary_needs-exhaustive",2026-08-29
STD-024,,OASIS,"SAML 2.0",2005,"OASIS Standard; errata maintained","https://docs.oasis-open.org/security/saml/v2.0/","Federation;Authentication;Identity Information","source;mapping target",supporting,"existing-summary",2026-08-29
STD-025,,OASIS,"XACML 3.0 plus Errata 01",current-maintained,"OASIS Standard","https://docs.oasis-open.org/xacml/3.0/","Authorization","source;benchmark",material,"existing-summary_needs-exhaustive",2026-08-29
STD-026,,IETF,"RFC 7643 SCIM Core Schema",2015,"Proposed Standard; updated","https://www.rfc-editor.org/rfc/rfc7643","Identity Administration","source;mapping target",supporting,"existing-summary",2026-08-29
STD-027,,IETF,"RFC 7644 SCIM Protocol",2015,"Proposed Standard; updated","https://www.rfc-editor.org/rfc/rfc7644","Identity Administration","source;mapping target",supporting,"existing-summary",2026-08-29
STD-028,,IETF,"RFC 8693 OAuth 2.0 Token Exchange",2020,"Proposed Standard","https://www.rfc-editor.org/rfc/rfc8693","Federation;Authorization;Workload Identity","source;mapping target",material,"existing-summary_needs-exhaustive",2026-08-29
