eudi_construct,source_ids,source_semantics,cm4di_target,ddd_domain,bounded_context,mapping_type,semantic_note,status
Certification Scheme,"EUDI-S005","national scheme defining functional, cybersecurity and data-protection certification requirements","GovernanceFramework;TrustFramework","Trust Governance","Trust Governance Context",narrower-framework,"Certification scheme is not Certification event and not TrustAssessment.",candidate-reconciled
Scheme Owner,"EUDI-S005","body responsible for development and maintenance of certification scheme","GovernanceAuthority","Trust Governance","Trust Governance Context",narrower-role,"May be played by CAB/government/trade association etc.; roleMixin interpretation is appropriate.",candidate-reconciled
Conformity Assessment Body,"EUDI-S005","body evaluating conformity within certification framework","ConformityAssessmentBody","Trust Governance","Trust Governance Context",exact-near,"Existing profile concept directly supported.",candidate-reconciled
Certification,"EUDI-S005;EUDI-S010","process/status establishing conformity of wallet solution against required scheme","Certification","Trust Governance","Trust Governance Context",exact-near,"FCAF functional conformance complements but does not replace security certification.",candidate-reconciled
Trusted List,"EUDI-S003;EUDI-S010","governed list carrying trusted providers/entities/trust anchors under applicable EU trust model","TrustedList","Trust Governance","Trust Governance Context",exact-near,"Distinct from TrustRegistry and TrustAnchor.",candidate-reconciled
List of Trusted Entities,"EUDI-S010","ETSI TS 119 602 list mechanism now supported alongside Trusted Lists for trust-anchor retrieval","TrustedList/TrustRegistry mapping","Trust Governance","Trust Governance Context",profile-mapping,"Keep external list type distinct in mappings; do not collapse all governed lists into one encoding.",candidate-reconciled
Trust Anchor,"EUDI-S010","verification root/material retrieved by wallets/relying parties/issuers from governed trust sources","TrustAnchor","Trust Governance","Trust Governance Context",exact-near,"Still distinct from list/registry/framework and from SPIFFE TrustDomain.",candidate-reconciled
Selective Disclosure,"EUDI-S006;EUDI-S010","wallet capability to present selected attributes/data rather than full credential set","SelectiveDisclosure","Credential Exchange","Credential Exchange Context",exact-near,"Supports existing profile concept; implementation/cryptographic method remains profile-specific.",candidate-reconciled
Wallet User Authentication,"EUDI-S003;EUDI-S006","authentication of wallet user before wallet operations/disclosure","Authentication;Authenticator","Authentication","Authentication Context",profile-authentication,"Do not conflate user-to-wallet authentication with credential presentation or relying-party validation.",candidate-reconciled
Functional Conformance Assessment Framework,"EUDI-S010;EUDI-S011","shared reusable functional test cases for wallet-solution requirements, complementing security certification","Evaluation artifact; Certification/ConformityAssessment related","Trust Governance","Trust Governance Context",evaluation-only,"Primarily an evaluation/conformance source, not ontology class admission evidence.",candidate-reconciled
