concept_id,label,ontouml_stereotype,semantic_family,definition,parent_or_played_role,status,evidence_basis,cq_ids,scope_note
CM4DI-C0013,CredentialLifecycleEvent,event,Credential,"Event that changes or establishes a lifecycle state/status of a Credential.",Event,candidate,"GateB NC015; academic; machine rotation","CQ0009","Abstract pattern; profile-specific event types may specialize it."
CM4DI-C0014,CredentialIssuance,event,Credential,"Credential lifecycle event in which an issuer brings an issued Credential into existence or managed validity for a subject/holder context.",CredentialLifecycleEvent,candidate,"GateB NC014; W3C; OpenID4VCI; ISO","CQ0008;CQ0009","Issuer role itself is profile-first."
CM4DI-C0015,IdentityProofing,event,Proofing/Enrollment,"Event/process that evaluates identity evidence to establish confidence that identity information refers/binds to the intended subject.",Event,candidate,"GateB NC006; NIST 800-63A; government","CQ0010","Not Authentication."
CM4DI-C0016,Enrollment,event,Proofing/Enrollment,"Event/process establishing a managed identity relationship or representation for an IdentitySubject within an identity-management context.",Event,candidate,"baseline; NIST; GateB boundary","CQ0011","Not Provisioning."
CM4DI-C0017,Authentication,event,Authentication,"Event/process that verifies an entity/claimant or control of an Authenticator under an authentication context and produces an AuthenticationResult.",Event,candidate,"GateB NC016; NIST; IAM; datasets","CQ0013;CQ0025","Distinct from proofing federation and authorization."
CM4DI-C0018,Authenticator,roleMixin,Authentication,"Contextual role played by a heterogeneous entity/artifact used by an actor during Authentication to demonstrate control/presence/knowledge or other authentication capability.",External entity/artifact,candidate,"baseline; NIST; WebAuthn; device evidence","CQ0013;CQ0014;CQ0028","Device/key/secret are not forced into one kind."
CM4DI-C0019,AuthenticationResult,kind,Authentication,"Information/result artifact recording the outcome of an Authentication including success/failure and references to assurance/context as needed.",InformationObject,candidate,"GateB NC017; baseline; RBA/LANL","CQ0013;CQ0025","Distinct from Session."
CM4DI-C0020,AssuranceAssessment,kind,Trust/Assurance,"Assessment artifact stating an assurance dimension target and level/value/confidence with provenance/evidence.",InformationObject,candidate,"GateB NC028; NIST; ISO 29115; government","CQ0010;CQ0015","Dimensions include proofing authentication federation attribute etc.; no single overloaded LoA."
CM4DI-C0021,Authorization,event,Authorization,"Event/process evaluating an AuthorizationRequest and producing an AuthorizationResult/decision.",Event,candidate,"GateB NC018; ISO 29146; AuthZEN; IAM","CQ0016;CQ0018","Minimal authorization semantics only."
CM4DI-C0022,AuthorizationRequest,kind,Authorization,"Information object describing a requested Principal-Action-Resource access operation and associated AuthorizationContext.",InformationObject,candidate,"GateB NC021; XACML; AuthZEN","CQ0016;CQ0018","Separate from evaluation event and result."
CM4DI-C0023,AuthorizationContext,situation,Authorization,"Situation/environmental context relevant to authorization evaluation such as time device network or request conditions.",Situation,candidate,"GateB NC022; ISO/AuthZEN; IAM conditions","CQ0017","Distinct from IdentityContext."
CM4DI-C0024,AuthorizationResult,kind,Authorization,"Decision/result artifact produced by Authorization recording an explicit authorization decision and references to request/context.",InformationObject,candidate,"GateB NC023; baseline; AuthZEN/XACML","CQ0018","Refines baseline AuthorizationResult rather than adding duplicate Decision class."
CM4DI-C0025,Principal,roleMixin,Authorization,"Contextual role played by an entity or managed representation to which permissions/grants apply or that participates as authorization subject/actor.",External entity/representation,candidate,"GateB NC024; AWS; Entra; Google; Kubernetes","CQ0016;CQ0020;CQ0021;CQ0027","Principal is not Person and not synonymous with IdentitySubject."
CM4DI-C0026,Resource,roleMixin,Authorization,"Contextual role played by an entity/information/service that is the protected target of an authorization request or permission.",External entity/resource,candidate,"GateB NC019; ISO 29146; AuthZEN","CQ0016;CQ0019;CQ0020","Digital/non-digital target kinds remain external."
CM4DI-C0027,Action,kind,Authorization,"Description/specification of an action type or intended operation evaluated in authorization; not the executed event instance itself.",InformationObject,candidate,"GateB NC020; AuthZEN; XACML","CQ0016;CQ0019","Profile mappings may use protocol action strings."
CM4DI-C0028,Permission,kind,Authorization,"Normative information object describing an allowed Action over a Resource or resource scope under defined semantics.",NormativeDescription,candidate,"GateB NC025; IAM; standards","CQ0019;CQ0020","IAM roles/permission sets map to PermissionBundle in P01, not UFO roles."
CM4DI-C0029,AccessGrant,relator,Authorization,"Relator/assignment that mediates a Principal with one or more Permissions and optional Resource/scope/validity, independently of runtime authorization decisions.",Relator,candidate,"GateB NC026; AWS/Entra/Google IAM assignments","CQ0020;CQ0029","Durable grant ≠ AuthorizationResult."
CM4DI-C0030,Delegation,relator,Authorization,"Relator by which an authorizing party/principal empowers another actor/principal to exercise specified permissions or actions within a scope.",Relator,candidate,"GateB NC027; RFC8693; agent evidence; academic","CQ0021;CQ0029","Supports actsOnBehalfOf without conflating actor and subject."
CM4DI-C0031,TrustAssessment,kind,Trust/Assurance,"Assessment artifact concerning trust in a party claim credential source or interaction, explicitly separated from governance framework status and cryptographic validation.",InformationObject,candidate,"GateB NC029; ONTrust alignment; academic; government","CQ0022;CQ0023","Can align to external ONTrust:Trust semantics rather than redefine them."
CM4DI-C0032,TrustReference,kind,Trust/Assurance,"Reference/alignment artifact that identifies an external trust concept framework source or alignment target relevant to CM4DI semantics.",InformationObject,candidate,"baseline; GateB NC029","CQ0022","No longer a catch-all for TrustFramework Registry Anchor or certification."
CM4DI-C0033,RelyingParty,roleMixin,Interaction Role,"Contextual role played by an organization software/service or other party that relies on identity authentication or credential information in an interaction.",Party,candidate,"GateB NC030; NIST; OIDC; WebAuthn","CQ0032","Anti-rigid; not a rigid actor kind."
CM4DI-C0034,Verifier,roleMixin,Interaction Role,"Generic contextual role played by an entity that verifies evidence authentication material or credential presentations; concrete role semantics must be specialized by context/profile.",Party,candidate,"GateB NC031; NIST; VC; ISO","CQ0026;CQ0032","AuthenticationVerifier and CredentialPresentationVerifier must not be conflated."
