relation_id,label,ontouml_stereotype,source,target,source_cardinality,target_cardinality,cq_ids,status
CM4DI-R0024,proofingSubject,participation,IdentityProofing,IdentitySubject,"0..*","1",CQ0010,gate-c-candidate
CM4DI-R0025,usesEvidence,participation,IdentityProofing,Evidence,"0..*","1..*",CQ0010,gate-c-candidate
CM4DI-R0026,producesAssuranceAssessment,historicalDependence,IdentityProofing,AssuranceAssessment,"0..*","0..*",CQ0010,gate-c-candidate
CM4DI-R0027,enrollsSubject,participation,Enrollment,IdentitySubject,"0..*","1",CQ0011,gate-c-candidate
CM4DI-R0028,createsDigitalIdentity,historicalDependence,Enrollment,DigitalIdentity,"0..1","0..*",CQ0011,gate-c-candidate
CM4DI-R0029,createsBinding,historicalDependence,Enrollment,IdentityBinding,"0..1","0..*",CQ0011,gate-c-candidate
CM4DI-R0030,performedBy,participation,Authentication,Party,"0..*","1",CQ0013,gate-c-candidate
CM4DI-R0031,authenticatesSubject,participation,Authentication,IdentitySubject,"0..*","0..1",CQ0013,gate-c-candidate
CM4DI-R0032,usesAuthenticator,participation,Authentication,Authenticator,"0..*","1..*",CQ0013,gate-c-candidate
CM4DI-R0033,authenticationInContext,formal,Authentication,IdentityContext,"0..*","0..1",CQ0013,gate-c-candidate
CM4DI-R0034,producesAuthenticationResult,historicalDependence,Authentication,AuthenticationResult,"1","1",CQ0013,gate-c-candidate
CM4DI-R0035,hasAssuranceAssessment,formal,AuthenticationResult,AssuranceAssessment,"0..*","0..*",CQ0015,gate-c-candidate
CM4DI-R0036,evaluatesRequest,participation,Authorization,AuthorizationRequest,"1","1",CQ0018,gate-c-candidate
CM4DI-R0037,requestPrincipal,formal,AuthorizationRequest,Principal,"0..*","1",CQ0016,gate-c-candidate
CM4DI-R0038,requestResource,formal,AuthorizationRequest,Resource,"0..*","1",CQ0016,gate-c-candidate
CM4DI-R0039,requestAction,formal,AuthorizationRequest,Action,"0..*","1",CQ0016,gate-c-candidate
CM4DI-R0040,requestContext,formal,AuthorizationRequest,AuthorizationContext,"0..*","0..1",CQ0017,gate-c-candidate
CM4DI-R0041,producesAuthorizationResult,historicalDependence,Authorization,AuthorizationResult,"1","1",CQ0018,gate-c-candidate
CM4DI-R0042,permitsAction,formal,Permission,Action,"0..*","1..*",CQ0019,gate-c-candidate
CM4DI-R0043,permissionAppliesTo,formal,Permission,Resource,"0..*","0..*",CQ0019,gate-c-candidate
CM4DI-R0044,grantPrincipal,mediation,AccessGrant,Principal,"0..*","1",CQ0020,gate-c-candidate
CM4DI-R0045,grantPermission,mediation,AccessGrant,Permission,"0..*","1..*",CQ0020,gate-c-candidate
CM4DI-R0046,grantScope,mediation,AccessGrant,Resource,"0..*","0..*",CQ0020,gate-c-candidate
CM4DI-R0047,delegator,mediation,Delegation,Principal,"0..*","1",CQ0021,gate-c-candidate
CM4DI-R0048,delegatee,mediation,Delegation,Principal,"0..*","1",CQ0021,gate-c-candidate
CM4DI-R0049,delegatedPermission,mediation,Delegation,Permission,"0..*","0..*",CQ0021,gate-c-candidate
CM4DI-R0050,assessmentTarget,formal,AssuranceAssessment,IdentityProofing,"0..*","0..1",CQ0015,gate-c-candidate
CM4DI-R0051,trustTarget,formal,TrustAssessment,Party,"0..*","0..1",CQ0022,gate-c-candidate
CM4DI-R0052,trustSupportedBy,formal,TrustAssessment,Evidence,"0..*","0..*",CQ0022,gate-c-candidate
CM4DI-R0053,trustAlignsTo,formal,TrustAssessment,TrustReference,"0..*","0..*",CQ0022,gate-c-candidate
CM4DI-R0054,reliesOn,formal,RelyingParty,Claim,"0..*","0..*",CQ0032,gate-c-candidate
CM4DI-R0055,verifiesEvidence,formal,Verifier,Evidence,"0..*","0..*",CQ0026,gate-c-candidate
