relation_id,label,relation_type,source,target,source_cardinality,target_cardinality,definition,derived_or_constraint,cq_ids
CM4DI-R0028,createsDigitalIdentity,material,Enrollment,DigitalIdentity,"0..1","0..*","Enrollment may create one or more DigitalIdentity representations.","Some enrollments update existing representation; cardinality is therefore optional",CQ0011
CM4DI-R0029,createsBinding,material,Enrollment,IdentityBinding,"0..1","0..*","Enrollment may establish one or more IdentityBindings.","Binding may also arise through later lifecycle actions",CQ0011
CM4DI-R0030,performedBy,material,Authentication,Party,"0..*","1","Authentication is performed/initiated by a participating Party role occurrence.","Actor may differ from represented/authorizing subject via Delegation",CQ0013
CM4DI-R0031,authenticatesSubject,material,Authentication,IdentitySubject,"0..*","0..1","Authentication may target an IdentitySubject whose represented identity is being authenticated.","Machine/federated cases may authenticate a principal/representation; profile mapping clarifies",CQ0013
CM4DI-R0032,usesAuthenticator,material,Authentication,Authenticator,"0..*","1..*","Authentication uses one or more Authenticator role occurrences.","Multiple authenticators support MFA",CQ0013
CM4DI-R0033,authenticationInContext,material,Authentication,IdentityContext,"0..*","0..1","Authentication may be associated with the identity-management context in which it is interpreted.","Detailed authentication context class/assurance profile can specialize later",CQ0013
CM4DI-R0034,producesAuthenticationResult,material,Authentication,AuthenticationResult,"1","1","Each modeled Authentication produces one explicit AuthenticationResult record.","Result record does not equal Session",CQ0013
CM4DI-R0035,hasAssuranceAssessment,material,AuthenticationResult,AssuranceAssessment,"0..*","0..*","AuthenticationResult may reference assurance assessments.","Assessment dimension must identify authentication when applicable",CQ0015
CM4DI-R0036,evaluatesRequest,material,Authorization,AuthorizationRequest,"1","1","Each Authorization evaluation evaluates one AuthorizationRequest.","Batch/multi-resource requests can be represented by multiple request items/profile structure",CQ0018
CM4DI-R0037,requestPrincipal,material,AuthorizationRequest,Principal,"0..*","1","An AuthorizationRequest has one Principal.","Delegation can explain actor/authorizer distinction",CQ0016
CM4DI-R0038,requestResource,material,AuthorizationRequest,Resource,"0..*","1","An AuthorizationRequest targets one Resource at the Core request-item level.","Profiles may aggregate resources",CQ0016
CM4DI-R0039,requestAction,material,AuthorizationRequest,Action,"0..*","1","An AuthorizationRequest requests one Action specification at the Core request-item level.","Profiles may aggregate actions",CQ0016
CM4DI-R0040,requestContext,material,AuthorizationRequest,AuthorizationContext,"0..*","0..1","AuthorizationRequest may carry one AuthorizationContext situation/reference.","Distinct from IdentityContext",CQ0017
CM4DI-R0041,producesAuthorizationResult,material,Authorization,AuthorizationResult,"1","1","Each modeled Authorization evaluation produces one AuthorizationResult/decision record.","Decision value is data/enumeration in formal layer",CQ0018
CM4DI-R0042,permitsAction,material,Permission,Action,"0..*","1..*","Permission normatively permits one or more Actions.","Detailed conditions remain profile-level",CQ0019
CM4DI-R0043,permissionAppliesTo,material,Permission,Resource,"0..*","0..*","Permission may apply to one or more Resources/resource scopes.","Abstract scopes may be profile constructs",CQ0019
CM4DI-R0044,grantPrincipal,mediation,AccessGrant,Principal,"0..*","1","AccessGrant mediates one grantee Principal.","Relator mediation",CQ0020
CM4DI-R0045,grantPermission,mediation,AccessGrant,Permission,"0..*","1..*","AccessGrant mediates one or more Permissions.","PermissionBundle is P01 mapping",CQ0020
CM4DI-R0046,grantScope,mediation,AccessGrant,Resource,"0..*","0..*","AccessGrant may be scoped to Resources.","Other scope dimensions may be profile data",CQ0020
CM4DI-R0047,delegator,mediation,Delegation,Principal,"0..*","1","Delegation is grounded in an authorizing/delegating Principal.","A Party may play the Principal role",CQ0021
CM4DI-R0048,delegatee,mediation,Delegation,Principal,"0..*","1","Delegation mediates the delegated Principal/actor.","Delegator and delegatee must not be same role occurrence for meaningful delegation",CQ0021
CM4DI-R0049,delegatedPermission,mediation,Delegation,Permission,"0..*","0..*","Delegation may specify Permissions/actions granted to the delegatee.","Scope may also be represented through AccessGrant relations",CQ0021
CM4DI-R0050,assessmentTarget,material,AssuranceAssessment,IdentityProofing,"0..*","0..1","An AssuranceAssessment may assess a proofing event/outcome.","Other dimension-specific targets use parallel/profile relations",CQ0015
CM4DI-R0051,trustTarget,material,TrustAssessment,Party,"0..*","0..1","TrustAssessment may concern a Party role occurrence.","Profiles may also target Claim/Credential/Provider via qualified target pattern",CQ0022
CM4DI-R0052,trustSupportedBy,material,TrustAssessment,Evidence,"0..*","0..*","TrustAssessment may be supported by Evidence.","Trust does not reduce to evidence quantity",CQ0022
CM4DI-R0053,trustAlignsTo,material,TrustAssessment,TrustReference,"0..*","0..*","TrustAssessment may reference external trust concepts/framework alignments.","External ONTrust relation remains external",CQ0022
CM4DI-R0054,reliesOn,material,RelyingParty,Claim,"0..*","0..*","A RelyingParty may rely on Claims/identity information in an interaction.","Profile may refine target to assertion/credential/authentication result",CQ0032
CM4DI-R0055,verifiesEvidence,material,Verifier,Evidence,"0..*","0..*","Generic Verifier role may verify Evidence; concrete verification semantics require specialization.","Do not infer CredentialPresentationVerifier from any Verifier use",CQ0026
