radar_id,type,name,category,discovered_from,why_material,affected_domains_or_contexts,priority,status,provisional_disposition,official_validation_needed
RAD-017,product,StrongDM,infrastructure access,2026 identity security landscape,"Infrastructure access broker provides session/grant/resource mediation evidence","Authorization;Authentication;Federation",medium,candidate,benchmark,true
RAD-018,tool,Cerbos,authorization management,authorization landscape,"PDP/PAP/context enrichment and externalized authorization challenge Authorization architecture without redefining identity","Authorization;Identity Administration;Agent Identity;Workload Identity",high,candidate,investigate,true
RAD-019,tool,OpenFGA,relationship-based authorization,authorization landscape,"Tuple/relationship authorization may expose relation patterns useful for AccessGrant/Permission/Resource graphs","Authorization",high,candidate,investigate,true
RAD-020,tool,SpiceDB,relationship-based authorization,authorization landscape,"Zanzibar-style relationship graph provides authorization relation/evaluation benchmark","Authorization",medium,candidate,benchmark,true
RAD-021,tool,Permit.io,authorization management,agent identity landscape,"Policy/relationship authorization and AI-agent access provide operational evidence","Authorization;Agent Identity",medium,candidate,investigate,true
RAD-022,tool,OPA,policy engine,current architecture practice,"Generic policy evaluation provides implementation boundary for AccessPolicy/AuthorizationResult but is not identity ontology authority","Authorization",medium,candidate,map,true
RAD-023,product,Microsoft Entra Agent ID,agent identity,current 2026 landscape,"First-class agent identity governance may challenge AgentSponsor, AgentIdentity and lifecycle relations","Agent Identity;Authorization;Trust Governance",high,candidate,investigate,true
RAD-024,product,Auth0 for AI Agents,agent identity,current 2026 landscape,"Agent identity/token vault/MCP authorization may expose delegated authority and credential patterns","Agent Identity;Authorization;Credential Management",high,candidate,investigate,true
RAD-025,product,Ping Identity for AI,agent identity,current 2026 landscape,"Agent gateway/human approval/identity patterns may expose agent governance semantics","Agent Identity;Authorization;Trust Governance",high,candidate,investigate,true
RAD-026,product,Descope Agentic Identity Hub,agent identity,current 2026 landscape,"Step-up/human approval/agent identity orchestration may reinforce AgentSponsor/delegation patterns","Agent Identity;Authentication;Authorization",high,candidate,investigate,true
RAD-027,product,Persona,identity verification/proofing,proofing market,"Operational identity-proofing evidence for evidence collection, verification and lifecycle","Identity Evidence;Identity Establishment",medium,candidate,benchmark,true
RAD-028,product,Entrust Identity Verification,identity verification/proofing,proofing market,"Document/biometric verification and decision workflows can challenge proofing/evidence concepts","Identity Evidence;Identity Establishment",medium,candidate,benchmark,true
RAD-029,product,Jumio,identity verification/proofing,proofing market,"Proofing workflow/data evidence source for IdentityProofing and AssuranceAssessment","Identity Evidence;Identity Establishment",medium,candidate,benchmark,true
RAD-030,product,Veriff,identity verification/proofing,proofing market,"Operational verification/evidence workflow comparison","Identity Evidence;Identity Establishment",low,candidate,monitor,true
RAD-031,research-track,Identity Governance,IGA semantics,deep discovery,"Certification, access review, entitlement governance and SoD may merit an adjacent ontology/product track rather than Core inflation","Authorization;Identity Administration;Trust Governance",high,candidate,future-research,true
RAD-032,research-track,Privileged Access,privileged identity semantics,deep discovery,"Privileged account/session/JIT/JEA semantics may merit separate extension or research track","Authorization;Authentication;Identity Administration",medium,candidate,future-research,true
RAD-033,research-track,Identity Threat,ITDR semantics,deep discovery,"Identity attack paths, risk signals and detection are cybersecurity-adjacent and should be bounded explicitly","Authentication;Identity Administration;Trust Governance",medium,candidate,future-research,true
