candidate_id,candidate_label,candidate_type,current_cm4di_status,primary_evidence_families,recurrence,recommendation,rationale,gate_b_question
CAND-NH-017,Device Identity Record,Directory/registry representation,Missing,"Entra Device object; AWS IoT Thing",High,Device profile candidate,"Directory/registry object representing device is distinct from physical/virtual device and from credential.","Specialize Account/DigitalIdentity/RegistryRecord or create DeviceIdentity profile class?"
CAND-NH-018,Device Registration / Join,Binding/governance event,Missing,"Entra device registration/join",Medium,Device profile lifecycle,"Registration/join establishes relationship between device and identity domain; distinct from human enrollment.","Use generic IdentityBinding/Registration pattern or profile event types?"
CAND-NH-019,Device State / Trust State,State/quality,Missing,"Entra device identity; Conditional Access",Medium,Device profile,"Registered/joined/hybrid/compliant/disabled states affect authorization but are not authentication results.","Model generic subject state/assurance or keep device-specific?"
CAND-NH-020,Device Credential,Credential pattern,Representable by Credential,"Entra registration certificates; AWS IoT X.509",High,Device profile mapping,"Devices use certificates/tokens to prove device identity; credential is not the device or identity record.","Can existing Credential represent device credentials without human-centric assumptions?"
CAND-NH-021,Node Attestation,Attestation event/process,Missing,"SPIRE",Medium,Machine/Device profile,"SPIRE distinguishes attestation of host/node from workload process attestation.","Is node attestation a subtype of generic Attestation/IdentityProofing or separate infrastructure evidence process?"
CAND-NH-022,Workload Attestation,Attestation event/process,Missing,"SPIRE",High,Machine/Workload profile + Core evidence pattern,"Runtime metadata/selectors establish which workload/process is requesting identity.","Should generic IdentityBinding/Attestation be Core while workload selectors remain profile mapping?"
CAND-NH-023,Attestation Evidence,Evidence object,Partial via evidence helpers,"SPIRE; WebAuthn/device patterns",High,Core candidate aligned with Identity Evidence,"Attestation relies on runtime/platform evidence and supports binding identity issuance to an entity/workload.","Unify under generic Evidence with provenance and evidence type?"
CAND-NH-024,SPIFFE ID,Identifier subtype,Representable by Identifier,"SPIFFE",Medium,Mapping/profile,"SPIFFE ID is explicitly an identifier URI and should not be modeled as workload itself or credential.","Is current Identifier scheme model sufficient to represent structured trust-domain-scoped identifiers?"
CAND-NH-025,SVID,Verifiable identity document / credential,Missing specific mapping,"SPIFFE",Medium,Machine/Workload profile specialization/mapping,"SVID communicates a SPIFFE ID in a cryptographically verifiable document and has lifecycle/rotation.","Map SVID to Credential or Proof-bearing Credential subtype?"
CAND-NH-026,Trust Domain,Identity namespace/security boundary,Missing,"SPIFFE; Google/AWS analogues",Medium,Trust + Machine profile candidate,"Trust domain is an identity namespace backed by issuing authority/keys and distinct from IdentityContext and government TrustFramework.","Introduce generic TrustDomain/IdentityNamespace in shared Trust profile or mapping-only?"
CAND-NH-027,Trust Bundle,Cryptographic trust artifact,Missing,"SPIFFE",Medium,Trust/Machine profile,"Bundle contains authoritative public keys for a trust domain and changes through key rotation.","Specialize TrustReference/TrustAnchor-support artifact or keep SPIFFE mapping?"
CAND-NH-028,Issuing Authority,Authority role,Partial via providers,"SPIFFE; PKI; credential ecosystems",High,Core-or-shared-profile role,"Non-human identity issuance repeatedly depends on an authority able to issue/sign credentials or identity documents.","Can existing CredentialServiceProvider/Issuer semantics support non-human identity without NIST-centric terminology?"
CAND-NH-029,Temporary Credential,Credential/session artifact,Missing explicit generic,"AWS; Google; Kubernetes; Entra",High,Core-or-profile lifecycle candidate,"Workload federation frequently exchanges proof for short-lived access credentials distinct from durable identity.","Generic TemporaryCredential subtype or temporal property on Credential?"
CAND-NH-030,Token Exchange,Event,Missing,"Google STS; OAuth RFC 8693; cloud workload federation",High,Enterprise/Machine profile candidate,"Federation often transforms external credential into local short-lived token/security context.","Model generic CredentialExchange event or keep protocol-level mapping?"
CAND-NH-031,Credential Rotation,Lifecycle event,Implicit,"SPIFFE; Kubernetes; managed identities",High,Generic lifecycle candidate,"Short-lived machine credentials rotate automatically and identity remains stable across rotations.","Add generic credential lifecycle events to Core lifecycle pattern?"
CAND-NH-032,Workload Identity Federation,Federation specialization,Missing,"Google; Entra; GitHub/AWS patterns",High,Machine/Workload profile specialization,"Workload federation reuses generic federation semantics but subjects, credentials and trust mechanics differ from human SSO.","Specialize generic Federation in profile while reusing Core relations?"
CAND-NH-033,Workload Identity Pool / Namespace,Administrative identity domain,Missing,"Google; SPIFFE trust domain analogous",Medium,Machine/Workload profile,"Groups external workload identities and provider mappings under administrative boundary.","Map to IdentityNamespace/AdministrativeDomain rather than new Core class?"
CAND-NH-034,Workload Identity Provider,Provider/configuration role,Missing,"Google WIF; Entra external IdP trust",Medium,Machine/Federation profile,"Describes federation relationship/provider for workload identities; not necessarily an identity issuer itself.","Reuse IdentityProvider role or create FederationProvider/TrustConfiguration abstraction?"
CAND-NH-035,Agent Identity,Digital identity/account pattern,Missing,"Microsoft Entra Agent ID; AWS AgentCore",Medium,Agent profile specialization of DigitalIdentity/Account,"Platforms create distinct identity representations for AI agents, often at scale and with dynamic lifecycle.","Should AgentIdentity be profile specialization only or evidence for a generic SoftwareAgentIdentity pattern?"
CAND-NH-036,Agent User Account,Compatibility account pattern,Missing,"Microsoft Entra Agent ID",Low,Vendor/profile mapping,"An agent may be paired one-to-one with special user account for systems requiring user semantics, while remaining non-human.","Keep mapping-only to avoid classifying agents as persons/users?"
CAND-NH-037,Agent Sponsor / Owner,Governance role,Missing,"Microsoft Entra Agent ID; agent governance",Medium,Agent profile candidate,"Agent identities can have human sponsor/owner accountable for lifecycle and governance.","Generic IdentitySponsor/AccountableOwner role or agent-specific profile relation?"
CAND-NH-038,Autonomous Access,Authorization mode,Missing,"Microsoft Entra Agent ID; AWS AgentCore",Medium,Agent profile candidate,"Agent uses permissions assigned directly to its identity, distinct from acting for a user.","Represent as access provenance/mode on Authorization/Grant rather than class?"
CAND-NH-039,Delegated Agent Access,Delegation relation/authorization mode,Missing,"Microsoft Entra Agent ID; AWS AgentCore; RFC 8693 prior wave",High,Core Delegation candidate + Agent profile,"Agent acts on behalf of human user using delegated rights; actor and subject must remain distinct.","Promote generic Delegation/actsOnBehalfOf relation to Core and specialize agent use in profile?"
CAND-NH-040,Agent Blueprint / Identity Template,Governance/config artifact,Missing,"Microsoft Entra Agent ID",Low,Agent profile mapping,"Blueprint governs scalable creation/configuration of agent identities but is product/emerging-specific.","Keep profile/mapping-only unless additional platforms converge on identity-template semantics?"
