cq_id,primary_domain_id,primary_domain,primary_bounded_context,related_domains,ddd_impact_status
CM4DI-CQ0039,CM4DI-D0005,Credential Management,CM4DI-BC0003,,REVALIDATED
CM4DI-CQ0040,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,"CM4DI-D0002;CM4DI-D0005",REVALIDATED
CM4DI-CQ0041,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,"CM4DI-D0003",REVALIDATED
CM4DI-CQ0042,CM4DI-D0010,Credential Exchange,CM4DI-BC0008,,REVALIDATED
CM4DI-CQ0043,CM4DI-D0011,Workload Identity,CM4DI-BC0009,"CM4DI-D0008;CM4DI-D0007;CM4DI-D0001",REVALIDATED
CM4DI-CQ0044,CM4DI-D0011,Workload Identity,CM4DI-BC0009,"CM4DI-D0003",REVALIDATED
CM4DI-CQ0045,CM4DI-D0011,Workload Identity,CM4DI-BC0009,"CM4DI-D0001;CM4DI-D0005",REVALIDATED
CM4DI-CQ0046,CM4DI-D0012,Device Identity,CM4DI-BC0010,"CM4DI-D0006;CM4DI-D0007;CM4DI-D0001",REVALIDATED
CM4DI-CQ0047,CM4DI-D0013,Agent Identity,CM4DI-BC0011,"CM4DI-D0007;CM4DI-D0014",REVALIDATED
CM4DI-CQ0048,CM4DI-D0014,Trust Governance,CM4DI-BC0012,,REVALIDATED
CM4DI-CQ0049,CM4DI-D0014,Trust Governance,CM4DI-BC0012,"CM4DI-D0003",REVALIDATED
CM4DI-CQ0050,CM4DI-D0003,Identity Evidence,CM4DI-BC0002,"CM4DI-D0014;CM4DI-D0004;CM4DI-D0006;CM4DI-D0009",REVALIDATED
CM4DI-CQ0051,CM4DI-D0015,Government Identity,CM4DI-BC0013,"CM4DI-D0005;CM4DI-D0002;CM4DI-D0001",REVALIDATED
CM4DI-CQ0052,CM4DI-D0014,Trust Governance,CM4DI-BC0012,"CM4DI-D0003;CM4DI-D0011",REVALIDATED
